TaskID,Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline,Deadline Type,Dependency,Trigger
1,j0,Sporadic,200,0,0.6,0.6,10,10,10,10,Hard,,
2,j1,Periodic,190,0,1.3,1.3,50,,,50,Hard,,
3,j2,Periodic,180,0,2.6,2.6,100,,,100,Hard,,
4,j3,Periodic,179,0,0.6,0.6,100,,,100,Hard,,
5,j4,Periodic,178,0,12.2,12.2,100,,,100,Hard,,
6,j5,Sporadic,177,0,1.3,1.3,100,100,30000,100,Hard,,
7,j6,Sporadic,176,0,13.6,13.6,100,100,30000,100,Hard,,
8,j7,Sporadic,175,0,1.9,1.9,100,100,30000,100,Hard,,
9,j8,Sporadic,174,0,1.9,1.9,100,100,100,100,Hard,,
10,j9,Sporadic,173,0,8.3,8.3,100,100,60000,100,Hard,,
11,j10,Sporadic,172,0,1.6,1.6,100,100,60000,100,Hard,,
12,j11,Sporadic,171,0,2.6,2.6,100,100,100,100,Hard,,
13,j12,Sporadic,170,0,1.1,1.1,100,100,100,100,Hard,,
14,j13,Periodic,169,0,3,3,100,,,100,Hard,,
15,j14,Periodic,168,0,36.1,36.1,1000,,,1000,Hard,,
16,j15,Periodic,100,0,31.3,31.3,250,,,250,Hard,,
17,j16,Periodic,99,0,17.9,17.9,250,,,250,Hard,,
18,j17,Periodic,90,0,1.7,1.7,500,,,500,Hard,,
19,j18,Periodic,80,0,3,3,1000,,,1000,Hard,,
20,j19,Periodic,70,0,4.4,4.4,2000,,,2000,Hard,,
21,j20,Aperiodic,60,0,2.5,2.5,1000,1000,1000,1000,Soft,,
22,j21,Aperiodic,59,0,1.1,1.1,1000,1000,1000,1000,Soft,,
23,j22,Aperiodic,58,0,4.4,4.4,1000,1000,60000,1000,Soft,,
24,j23,Aperiodic,50,0,165.8,165.8,60000,60000,60000,60000,Soft,,
25,j24,Aperiodic,40,0,5.6,5.6,5000,5000,5000,5000,Soft,,
