Task ID,Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline,Deadline Type,Dependency,Trigger
1,j0,Periodic,33,,1,1,60,-1,-1,15,Hard,,
2,j1,Aperiodic,32,,5,5,45,45,125,5,Soft,1,
3,j2,Periodic,31,,6,6,60,-1,-1,15,Hard,2,
4,j3,Aperiodic,30,,5,5,45,45,125,5,Soft,,
5,j4,Aperiodic,29,,4,4,45,45,125,5,Soft,3,
6,j5,Periodic,28,,3,3,60,-1,-1,15,Hard,,
7,j6,Periodic,27,,4,4,60,-1,-1,15,Hard,1,
8,j7,Periodic,26,,5,5,60,-1,-1,15,Hard,2;4,
9,j8,Aperiodic,25,,5,5,45,45,125,10,Soft,,
10,j9,Periodic,24,,2,2,60,-1,-1,15,Hard,3,
11,j10,Periodic,23,,5,5,60,-1,-1,15,Hard,4,
12,j11,Aperiodic,22,,5,5,45,45,125,15,Soft,5,
13,j12,Aperiodic,21,,5,5,45,45,125,46,Soft,,
14,j13,Aperiodic,20,,1,1,45,45,125,46,Soft,,
15,j14,Aperiodic,19,,1,1,45,45,125,46,Soft,5,
16,j15,Periodic,18,,1,1,60,-1,-1,60,Hard,,
17,j16,Aperiodic,17,,1,1,45,45,125,12,Soft,,
18,j17,Periodic,16,,1,1,60,-1,-1,70,Hard,,
19,j18,Periodic,15,,1,1,60,-1,-1,70,Hard,,
20,j19,Periodic,14,,1,1,60,-1,-1,70,Hard,,
21,j20,Periodic,12,,1,1,60,-1,-1,70,Hard,,
22,j21,Periodic,11,,1,1,60,-1,-1,70,Hard,,
23,j22,Periodic,10,,1,1,60,-1,-1,70,Hard,,
24,j23,Periodic,9,,1,1,60,-1,-1,70,Hard,,
25,j24,Periodic,8,,1,1,60,-1,-1,70,Hard,,
26,j25,Periodic,7,,1,1,60,-1,-1,70,Hard,,
27,j26,Periodic,6,,1,1,60,-1,-1,70,Hard,,
28,j27,Periodic,5,,1,1,60,-1,-1,70,Hard,,
29,j28,Periodic,4,,1,1,60,-1,-1,70,Hard,,
30,j29,Periodic,3,,1,1,60,-1,-1,70,Hard,,
31,j30,Periodic,2,,1,1,60,-1,-1,70,Hard,,
32,j31,Periodic,1,,1,1,60,-1,-1,70,Hard,,
