Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,34,0.000000,0.100000,0.100000,10.000000,10.000000,20.000000,10.000000,HARD,,
2,t02,Periodic,3,0.000000,0.600000,0.600000,880.000000,,,880.000000,HARD,,
3,t03,Periodic,33,0.000000,0.100000,0.100000,10.000000,,,10.000000,HARD,,
4,t04,Periodic,32,0.000000,0.100000,0.100000,10.000000,,,10.000000,HARD,,
5,t05,Periodic,2,0.000000,29.800000,29.800000,900.000000,,,900.000000,HARD,,
6,t06,Aperiodic,12,0.000000,5.900000,5.900000,330.000000,330.000000,590.000000,330.000000,HARD,,
7,t07,Periodic,25,0.000000,0.800000,0.800000,30.000000,,,30.000000,HARD,,
8,t08,Periodic,6,0.000000,0.900000,0.900000,610.000000,,,610.000000,HARD,,
9,t09,Aperiodic,23,0.000000,0.100000,0.100000,50.000000,50.000000,80.000000,50.000000,HARD,,
10,t10,Aperiodic,11,0.000000,1.300000,1.300000,340.000000,340.000000,400.000000,340.000000,HARD,,
11,t11,Periodic,29,0.000000,0.900000,0.900000,20.000000,,,20.000000,HARD,,
12,t12,Aperiodic,14,0.000000,14.500000,14.500000,260.000000,260.000000,320.000000,260.000000,HARD,,
13,t13,Periodic,28,0.000000,0.200000,0.200000,20.000000,,,20.000000,HARD,,
14,t14,Periodic,31,0.000000,0.200000,0.200000,10.000000,,,10.000000,HARD,,
15,t15,Periodic,22,0.000000,1.900000,1.900000,60.000000,,,60.000000,HARD,,
16,t16,Aperiodic,21,0.000000,3.200000,3.200000,60.000000,60.000000,90.000000,60.000000,HARD,,
17,t17,Aperiodic,0,0.000000,47.500000,47.500000,950.000000,950.000000,1800.000000,950.000000,HARD,,
18,t18,Periodic,17,0.000000,0.700000,0.700000,100.000000,,,100.000000,HARD,,
19,t19,Periodic,10,0.000000,7.800000,7.800000,390.000000,,,390.000000,HARD,,
20,t20,Periodic,16,0.000000,1.300000,1.300000,140.000000,,,140.000000,HARD,,
21,t21,Aperiodic,7,0.000000,4.900000,4.900000,450.000000,450.000000,480.000000,450.000000,HARD,,
22,t22,Aperiodic,4,0.000000,14.600000,14.600000,670.000000,670.000000,1040.000000,670.000000,HARD,,
23,t23,Periodic,5,0.000000,22.200000,22.200000,620.000000,,,620.000000,HARD,,
24,t24,Periodic,30,0.000000,0.400000,0.400000,10.000000,,,10.000000,HARD,,
25,t25,Periodic,20,0.000000,2.800000,2.800000,60.000000,,,60.000000,HARD,,
26,t26,Aperiodic,13,0.000000,4.900000,4.900000,270.000000,270.000000,340.000000,270.000000,HARD,,
27,t27,Aperiodic,24,0.000000,0.300000,0.300000,40.000000,40.000000,50.000000,40.000000,HARD,,
28,t28,Aperiodic,9,0.000000,1.000000,1.000000,400.000000,400.000000,600.000000,400.000000,HARD,,
29,t29,Periodic,15,0.000000,1.200000,1.200000,190.000000,,,190.000000,HARD,,
30,t30,Aperiodic,1,0.000000,10.900000,10.900000,910.000000,910.000000,1080.000000,910.000000,HARD,,
31,t31,Periodic,27,0.000000,0.600000,0.600000,20.000000,,,20.000000,HARD,,
32,t32,Aperiodic,8,0.000000,0.700000,0.700000,400.000000,400.000000,430.000000,400.000000,HARD,,
33,t33,Periodic,19,0.000000,0.700000,0.700000,60.000000,,,60.000000,HARD,,
34,t34,Periodic,18,0.000000,1.200000,1.200000,60.000000,,,60.000000,HARD,,
35,t35,Periodic,26,0.000000,0.300000,0.300000,20.000000,,,20.000000,HARD,,

