Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,"t01",Periodic,7,0.000000,4.500000,4.500000,160.000000,,,160.000000,HARD,,
2,"t02",Aperiodic,11,0.000000,0.100000,0.100000,50.000000,50.000000,90.000000,50.000000,HARD,,
3,"t03",Periodic,2,0.000000,7.100000,7.100000,460.000000,,,460.000000,HARD,,
4,"t04",Periodic,12,0.000000,4.200000,4.200000,40.000000,,,40.000000,HARD,,
5,"t05",Periodic,14,0.000000,0.300000,0.300000,30.000000,,,30.000000,HARD,,
6,"t06",Aperiodic,10,0.000000,3.100000,3.100000,50.000000,50.000000,60.000000,50.000000,HARD,,
7,"t07",Periodic,15,0.000000,1.400000,1.400000,20.000000,,,20.000000,HARD,,
8,"t08",Periodic,19,0.000000,0.100000,0.100000,10.000000,,,10.000000,HARD,,
9,"t09",Periodic,18,0.000000,0.200000,0.200000,10.000000,,,10.000000,HARD,,
10,"t10",Periodic,8,0.000000,0.100000,0.100000,120.000000,,,120.000000,HARD,,
11,"t11",Periodic,9,0.000000,1.500000,1.500000,70.000000,,,70.000000,HARD,,
12,"t12",Periodic,13,0.000000,0.200000,0.200000,30.000000,,,30.000000,HARD,,
13,"t13",Periodic,17,0.000000,0.200000,0.200000,10.000000,,,10.000000,HARD,,
14,"t14",Periodic,0,0.000000,54.300000,54.300000,740.000000,,,740.000000,HARD,,
15,"t15",Aperiodic,5,0.000000,3.000000,3.000000,260.000000,260.000000,290.000000,260.000000,HARD,,
16,"t16",Aperiodic,16,0.000000,0.600000,0.600000,10.000000,10.000000,20.000000,10.000000,HARD,,
17,"t17",Periodic,6,0.000000,12.700000,12.700000,210.000000,,,210.000000,HARD,,
18,"t18",Periodic,1,0.000000,34.000000,34.000000,600.000000,,,600.000000,HARD,,
19,"t19",Periodic,3,0.000000,5.900000,5.900000,350.000000,,,350.000000,HARD,,
20,"t20",Periodic,4,0.000000,14.500000,14.500000,270.000000,,,270.000000,HARD,,

