Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,t01,Aperiodic,6,0.000000,0.100000,0.100000,110.000000,110.000000,130.000000,110.000000,HARD,,
2,t02,Aperiodic,2,0.000000,5.300000,5.300000,450.000000,450.000000,680.000000,450.000000,HARD,,
3,t03,Periodic,5,0.000000,8.500000,8.500000,170.000000,,,170.000000,HARD,,
4,t04,Periodic,11,0.000000,1.200000,1.200000,40.000000,,,40.000000,HARD,,
5,t05,Periodic,0,0.000000,27.900000,27.900000,840.000000,,,840.000000,HARD,,
6,t06,Periodic,3,0.000000,46.500000,46.500000,410.000000,,,410.000000,HARD,,
7,t07,Periodic,15,0.000000,0.800000,0.800000,20.000000,,,20.000000,HARD,,
8,t08,Periodic,19,0.000000,0.100000,0.100000,10.000000,,,10.000000,HARD,,
9,t09,Aperiodic,18,0.000000,0.600000,0.600000,10.000000,10.000000,20.000000,10.000000,HARD,,
10,t10,Aperiodic,9,0.000000,2.000000,2.000000,90.000000,90.000000,120.000000,90.000000,HARD,,
11,t11,Periodic,1,0.000000,0.200000,0.200000,630.000000,,,630.000000,HARD,,
12,t12,Periodic,14,0.000000,1.100000,1.100000,20.000000,,,20.000000,HARD,,
13,t13,Periodic,12,0.000000,1.300000,1.300000,30.000000,,,30.000000,HARD,,
14,t14,Aperiodic,17,0.000000,0.100000,0.100000,10.000000,10.000000,20.000000,10.000000,HARD,,
15,t15,Aperiodic,4,0.000000,0.800000,0.800000,350.000000,350.000000,510.000000,350.000000,HARD,,
16,t16,Periodic,10,0.000000,0.200000,0.200000,50.000000,,,50.000000,HARD,,
17,t17,Aperiodic,8,0.000000,2.600000,2.600000,90.000000,90.000000,160.000000,90.000000,HARD,,
18,t18,Aperiodic,16,0.000000,1.500000,1.500000,10.000000,10.000000,20.000000,10.000000,HARD,,
19,t19,Periodic,7,0.000000,0.900000,0.900000,100.000000,,,100.000000,HARD,,
20,t20,Periodic,13,0.000000,0.600000,0.600000,20.000000,,,20.000000,HARD,,

