Task ID, Task Name,Task Type,Task Priority,Offset,WCET min,WCET max,Task Period (ms),Minimum interarrival-time (ms),Maximum Interarrival time,Task Deadline, Deadline Type, Dependencies, Triggers
1,"t01",Periodic,1,0.000000,38.600000,38.600000,840.000000,,,840.000000,HARD,,
2,"t02",Aperiodic,3,0.000000,16.500000,16.500000,570.000000,570.000000,660.000000,570.000000,HARD,,
3,"t03",Aperiodic,6,0.000000,0.400000,0.400000,150.000000,150.000000,160.000000,150.000000,HARD,,
4,"t04",Periodic,11,0.000000,0.300000,0.300000,50.000000,,,50.000000,HARD,,
5,"t05",Periodic,10,0.000000,0.300000,0.300000,50.000000,,,50.000000,HARD,,
6,"t06",Periodic,5,0.000000,0.100000,0.100000,260.000000,,,260.000000,HARD,,
7,"t07",Periodic,9,0.000000,1.300000,1.300000,50.000000,,,50.000000,HARD,,
8,"t08",Aperiodic,15,0.000000,0.200000,0.200000,30.000000,30.000000,40.000000,30.000000,HARD,,
9,"t09",Periodic,2,0.000000,3.200000,3.200000,780.000000,,,780.000000,HARD,,
10,"t10",Periodic,18,0.000000,0.300000,0.300000,20.000000,,,20.000000,HARD,,
11,"t11",Aperiodic,4,0.000000,79.800000,79.800000,430.000000,430.000000,510.000000,430.000000,HARD,,
12,"t12",Aperiodic,14,0.000000,0.200000,0.200000,40.000000,40.000000,50.000000,40.000000,HARD,,
13,"t13",Aperiodic,7,0.000000,1.700000,1.700000,80.000000,80.000000,120.000000,80.000000,HARD,,
14,"t14",Periodic,17,0.000000,1.000000,1.000000,20.000000,,,20.000000,HARD,,
15,"t15",Aperiodic,13,0.000000,2.100000,2.100000,40.000000,40.000000,60.000000,40.000000,HARD,,
16,"t16",Periodic,19,0.000000,0.600000,0.600000,10.000000,,,10.000000,HARD,,
17,"t17",Periodic,16,0.000000,1.100000,1.100000,20.000000,,,20.000000,HARD,,
18,"t18",Aperiodic,8,0.000000,4.200000,4.200000,70.000000,70.000000,100.000000,70.000000,HARD,,
19,"t19",Periodic,12,0.000000,1.500000,1.500000,40.000000,,,40.000000,HARD,,
20,"t20",Periodic,0,0.000000,32.700000,32.700000,990.000000,,,990.000000,HARD,,

