Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,44,1,0,0,-815.5361627753604,10.0,0,0,0.0
UAV,44,1,1,1,-814.8151207800092,-4.0,0,0,0.0
UAV,44,1,2,2,-814.7941895908202,-20.0,0,0,0.0
UAV,44,1,3,3,-814.832657294749,-22.0,3647,0,0.0
UAV,44,1,4,4,-815.0704204344065,4.0,0,0,0.0
UAV,44,1,5,5,-814.7837358985056,-31.0,1560,0,0.0
UAV,44,1,6,6,-814.9186612274593,-3.0,2559,0,0.0
UAV,50,1,0,0,-815.2328248900692,4.0,3773,0,0.0
UAV,50,1,1,1,-814.8117280658671,-1.0,3515,0,0.0
UAV,50,1,2,2,-815.525202832396,10.0,0,0,0.0
UAV,50,1,3,3,-814.8105440199241,-23.0,34,0,0.0
UAV,50,1,4,4,-814.8085359142067,-32.0,32,0,0.0
UAV,50,1,5,5,-814.7666164967267,-37.0,2312,0,0.0
UAV,10,1,0,0,-814.7973986091791,-24.0,215,0,0.0
UAV,10,1,1,1,-814.857782915692,-5.0,55,0,0.0
UAV,10,1,2,2,-814.82309042547,-13.0,2322,0,0.0
UAV,10,1,3,3,-814.6774960308327,-39.0,9,0,0.0
UAV,10,1,4,4,-814.7521125525244,-30.0,2782,0,0.0
UAV,10,1,5,5,-814.8554749647051,-17.0,3695,0,0.0
UAV,10,1,6,6,-814.9572740538638,10.0,3500,0,0.0
UAV,22,1,0,0,-814.897862760257,-7.0,0,0,0.0
UAV,22,1,1,1,-814.9931336743822,5.0,0,0,0.0
UAV,22,1,2,2,-815.3603821412104,10.0,0,0,0.0
UAV,22,1,3,3,-814.7848424414522,-11.0,1962,0,0.0
UAV,22,1,4,4,-814.7031478805462,-36.0,2644,0,0.0
UAV,22,1,5,5,-814.7364551527079,-19.0,7,0,0.0
UAV,31,1,0,0,-814.8998116767707,-7.0,0,0,0.0
UAV,31,1,1,1,-814.816330302456,-9.0,2561,0,0.0
UAV,31,1,2,2,-814.9734728342859,-1.0,2500,0,0.0
UAV,31,1,3,3,-814.8365211194789,-16.0,291,0,0.0
UAV,31,1,4,4,-814.7773090121251,-27.0,1839,0,0.0
UAV,31,1,5,5,-815.2301538040207,10.0,3500,0,0.0
UAV,31,1,6,6,-814.7754544357994,-39.0,28,0,0.0
