Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,44,1,0,0,-803.7848278336588,10.0,0,0,0.0
UAV,44,1,1,1,-803.0237802025255,-4.0,0,0,0.0
UAV,44,1,2,2,-802.9754626496806,-20.0,0,0,0.0
UAV,44,1,3,3,-802.9018259042804,-22.0,70,0,0.0
UAV,44,1,4,4,-803.3458994750451,4.0,0,0,0.0
UAV,44,1,5,5,-802.9143376340674,-31.0,54,0,0.0
UAV,44,1,6,6,-803.1740345748061,-3.0,50,0,0.0
UAV,44,2,0,0,-801.5335058321357,10.0,0,0,0.0
UAV,44,2,1,1,-800.7358410102199,-4.0,0,0,0.0
UAV,44,2,2,2,-800.6959433542925,-20.0,0,0,0.0
UAV,44,2,3,3,-800.7484089912223,-22.0,80,0,0.0
UAV,44,2,4,4,-801.0752351113434,4.0,0,0,0.0
UAV,44,2,5,5,-800.6761303708606,-31.0,40,0,0.0
UAV,44,2,6,6,-800.874849933145,-3.0,50,0,0.0
UAV,44,3,0,0,-801.984193715439,10.0,0,0,0.0
UAV,44,3,1,1,-801.2235907009211,-4.0,0,0,0.0
UAV,44,3,2,2,-801.2069481632934,-20.0,0,0,0.0
UAV,44,3,3,3,-801.2036541195669,-22.0,80,0,0.0
UAV,44,3,4,4,-801.5433062811607,4.0,0,0,0.0
UAV,44,3,5,5,-801.1364935600093,-31.0,50,0,0.0
UAV,44,3,6,6,-801.3738034449626,-3.0,52,0,0.0
UAV,44,4,0,0,-803.0171119133054,10.0,0,0,0.0
UAV,44,4,1,1,-802.2545335697633,-4.0,0,0,0.0
UAV,44,4,2,2,-802.2173905379941,-20.0,0,0,0.0
UAV,44,4,3,3,-802.2238443958076,-22.0,75,0,0.0
UAV,44,4,4,4,-802.5659051792649,4.0,0,0,0.0
UAV,44,4,5,5,-802.1652053762159,-31.0,30,0,0.0
UAV,44,4,6,6,-802.3977652647935,-3.0,50,0,0.0
UAV,44,5,0,0,-802.8871819365758,10.0,0,0,0.0
UAV,44,5,1,1,-802.1382814642806,-4.0,0,0,0.0
UAV,44,5,2,2,-802.1123704554864,-20.0,0,0,0.0
UAV,44,5,3,3,-802.0386871062183,-22.0,91,0,0.0
UAV,44,5,4,4,-802.4481388372037,4.0,0,0,0.0
UAV,44,5,5,5,-802.0707582208254,-31.0,30,0,0.0
UAV,44,5,6,6,-802.2814760232149,-3.0,51,0,0.0
UAV,44,6,0,0,-801.9913775948754,10.0,0,0,0.0
UAV,44,6,1,1,-801.2287680344639,-4.0,0,0,0.0
UAV,44,6,2,2,-801.2231867982553,-20.0,0,0,0.0
UAV,44,6,3,3,-801.2198402336622,-22.0,71,0,0.0
UAV,44,6,4,4,-801.5745352386489,4.0,0,0,0.0
UAV,44,6,5,5,-801.137117307233,-31.0,36,0,0.0
UAV,44,6,6,6,-801.3933507734035,-3.0,68,0,0.0
UAV,44,7,0,0,-804.4296706998218,10.0,0,0,0.0
UAV,44,7,1,1,-803.6458900826792,-4.0,0,0,0.0
UAV,44,7,2,2,-803.6463168882235,-20.0,0,0,0.0
UAV,44,7,3,3,-803.7293919039214,-22.0,71,0,0.0
UAV,44,7,4,4,-803.9906216785515,4.0,0,0,0.0
UAV,44,7,5,5,-803.6039055281373,-31.0,47,0,0.0
UAV,44,7,6,6,-803.7817603176995,-3.0,51,0,0.0
UAV,44,8,0,0,-803.6422075484171,10.0,0,0,0.0
UAV,44,8,1,1,-802.9354041563414,-4.0,0,0,0.0
UAV,44,8,2,2,-802.9194610410589,-20.0,0,0,0.0
UAV,44,8,3,3,-802.8943812091677,-22.0,78,0,0.0
UAV,44,8,4,4,-803.2231604213507,4.0,0,0,0.0
UAV,44,8,5,5,-802.8696937837993,-31.0,40,0,0.0
UAV,44,8,6,6,-803.0614034846935,-3.0,51,0,0.0
UAV,44,9,0,0,-803.039911275778,10.0,0,0,0.0
UAV,44,9,1,1,-802.2853973262763,-4.0,0,0,0.0
UAV,44,9,2,2,-802.2822290682423,-20.0,0,0,0.0
UAV,44,9,3,3,-802.27159268034,-22.0,75,0,0.0
UAV,44,9,4,4,-802.5801620027502,4.0,0,0,0.0
UAV,44,9,5,5,-802.2194095577147,-31.0,34,0,0.0
