Subject,Approach,Cycle,Run,GD,HV,Spread
ICS,RS,1000,1, 0.0000, 1.0000, 0.0000
ICS,RS,1000,2, 0.0000, 1.0000, 0.0000
ICS,RS,1000,3, 0.0000, 1.0000, 0.0000
ICS,RS,1000,4, 0.0000, 1.0000, 0.0000
ICS,RS,1000,5, 0.0000, 1.0000, 0.0000
ICS,RS,1000,6, 0.0000, 1.0000, 0.0000
ICS,RS,1000,7, 0.0000, 1.0000, 0.0000
ICS,RS,1000,8, 0.0000, 1.0000, 0.0000
ICS,RS,1000,9, 0.0000, 1.0000, 0.0000
ICS,RS,1000,10, 0.0000, 1.0000, 0.0000
ICS,RS,1000,11, 0.0000, 1.0000, 0.0000
ICS,RS,1000,12, 0.0000, 1.0000, 0.0000
ICS,RS,1000,13, 0.0000, 1.0000, 0.0000
ICS,RS,1000,14, 0.0000, 1.0000, 0.0000
ICS,RS,1000,15, 0.0000, 1.0000, 0.0000
ICS,RS,1000,16, 0.0000, 1.0000, 0.0000
ICS,RS,1000,17, 0.0000, 1.0000, 0.0000
ICS,RS,1000,18, 0.0000, 1.0000, 0.0000
ICS,RS,1000,19, 0.0000, 1.0000, 0.0000
ICS,RS,1000,20, 0.0000, 1.0000, 0.0000
ICS,RS,1000,21, 0.0000, 1.0000, 0.0000
ICS,RS,1000,22, 0.0000, 1.0000, 0.0000
ICS,RS,1000,23, 0.0000, 1.0000, 0.0000
ICS,RS,1000,24, 0.0000, 1.0000, 0.0000
ICS,RS,1000,25, 0.0000, 1.0000, 0.0000
ICS,RS,1000,26, 0.0000, 1.0000, 0.0000
ICS,RS,1000,27, 0.0000, 1.0000, 0.0000
ICS,RS,1000,28, 0.0000, 1.0000, 0.0000
ICS,RS,1000,29, 0.0000, 1.0000, 0.0000
ICS,RS,1000,30, 0.0000, 1.0000, 0.0000
ICS,RS,1000,31, 0.0000, 1.0000, 0.0000
ICS,RS,1000,32, 0.0000, 1.0000, 0.0000
ICS,RS,1000,33, 0.0000, 1.0000, 0.0000
ICS,RS,1000,34, 0.0000, 1.0000, 0.0000
ICS,RS,1000,35, 0.0000, 1.0000, 0.0000
ICS,RS,1000,36, 0.0000, 1.0000, 0.0000
ICS,RS,1000,37, 0.0000, 1.0000, 0.0000
ICS,RS,1000,38, 0.0000, 1.0000, 0.0000
ICS,RS,1000,39, 0.0000, 1.0000, 0.0000
ICS,RS,1000,40, 0.0000, 1.0000, 0.0000
ICS,RS,1000,41, 0.0000, 1.0000, 0.0000
ICS,RS,1000,42, 0.0000, 1.0000, 0.0000
ICS,RS,1000,43, 0.0000, 1.0000, 0.0000
ICS,RS,1000,44, 0.0000, 1.0000, 0.0000
ICS,RS,1000,45, 0.0000, 1.0000, 0.0000
ICS,RS,1000,46, 0.0000, 1.0000, 0.0000
ICS,RS,1000,47, 0.0000, 1.0000, 0.0000
ICS,RS,1000,48, 0.0000, 1.0000, 0.0000
ICS,RS,1000,49, 0.0000, 1.0000, 0.0000
ICS,RS,1000,50, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,1, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,2, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,3, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,4, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,5, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,6, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,7, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,8, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,9, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,10, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,11, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,12, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,13, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,14, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,15, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,16, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,17, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,18, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,19, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,20, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,21, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,22, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,23, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,24, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,25, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,26, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,27, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,28, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,29, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,30, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,31, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,32, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,33, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,34, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,35, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,36, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,37, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,38, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,39, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,40, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,41, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,42, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,43, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,44, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,45, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,46, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,47, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,48, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,49, 0.0000, 1.0000, 0.0000
ICS,COEVOL,1000,50, 0.0000, 1.0000, 0.0000
CCS,RS,1000,1,0.043997,0.745913,0.741720
CCS,RS,1000,2,0.045489,0.798005,0.601082
CCS,RS,1000,3,0.026102,0.811112,0.607093
CCS,RS,1000,4,0.034559,0.757697,0.448963
CCS,RS,1000,5,0.018122,0.807883,0.577019
CCS,RS,1000,6,0.060602,0.719831,0.716044
CCS,RS,1000,7,0.032884,0.802366,0.556558
CCS,RS,1000,8,0.032396,0.782170,0.642990
CCS,RS,1000,9,0.028356,0.801199,0.833559
CCS,RS,1000,10,0.031374,0.783469,0.824388
CCS,RS,1000,11,0.037821,0.765680,0.304308
CCS,RS,1000,12,0.043417,0.778953,0.422554
CCS,RS,1000,13,0.025133,0.761689,0.611186
CCS,RS,1000,14,0.016223,0.805560,0.534072
CCS,RS,1000,15,0.041664,0.788116,0.803523
CCS,RS,1000,16,0.018005,0.808014,0.943640
CCS,RS,1000,17,0.054585,0.729697,0.568498
CCS,RS,1000,18,0.045120,0.745163,0.492575
CCS,RS,1000,19,0.014697,0.799078,0.857516
CCS,RS,1000,20,0.037323,0.772841,0.680711
CCS,RS,1000,21,0.044210,0.729578,0.372294
CCS,RS,1000,22,0.039300,0.749869,0.372750
CCS,RS,1000,23,0.023925,0.811863,0.787490
CCS,RS,1000,24,0.020257,0.799817,0.663737
CCS,RS,1000,25,0.037012,0.786079,0.543001
CCS,RS,1000,26,0.042225,0.739205,0.605063
CCS,RS,1000,27,0.044241,0.789796,0.802852
CCS,RS,1000,28,0.037614,0.772948,0.232727
CCS,RS,1000,29,0.029949,0.780347,0.685662
CCS,RS,1000,30,0.034999,0.790189,0.389410
CCS,RS,1000,31,0.033913,0.745389,0.616615
CCS,RS,1000,32,0.036078,0.754313,0.443478
CCS,RS,1000,33,0.018908,0.785328,0.644047
CCS,RS,1000,34,0.026557,0.728589,0.745060
CCS,RS,1000,35,0.034750,0.760044,0.614891
CCS,RS,1000,36,0.035601,0.734963,0.695124
CCS,RS,1000,37,0.027671,0.799376,0.792149
CCS,RS,1000,38,0.024901,0.769159,0.695904
CCS,RS,1000,39,0.022533,0.804332,0.799172
CCS,RS,1000,40,0.024617,0.789534,0.771863
CCS,RS,1000,41,0.029209,0.784816,0.573386
CCS,RS,1000,42,0.033538,0.785066,0.607887
CCS,RS,1000,43,0.045832,0.771423,0.637241
CCS,RS,1000,44,0.047187,0.732783,0.551828
CCS,RS,1000,45,0.027476,0.776296,0.223739
CCS,RS,1000,46,0.024654,0.783028,0.494610
CCS,RS,1000,47,0.024585,0.800925,0.707192
CCS,RS,1000,48,0.029799,0.778262,0.455127
CCS,RS,1000,49,0.022875,0.785495,0.488260
CCS,RS,1000,50,0.047387,0.758317,0.442009
CCS,COEVOL,1000,1,0.009523,0.823015,0.644402
CCS,COEVOL,1000,2,0.021812,0.808967,0.788685
CCS,COEVOL,1000,3,0.022547,0.806179,0.844032
CCS,COEVOL,1000,4,0.012441,0.805536,0.682542
CCS,COEVOL,1000,5,0.014511,0.823646,0.931099
CCS,COEVOL,1000,6,0.019599,0.825696,0.803250
CCS,COEVOL,1000,7,0.008608,0.832285,0.626221
CCS,COEVOL,1000,8,0.012886,0.809599,0.866425
CCS,COEVOL,1000,9,0.012082,0.829330,0.802037
CCS,COEVOL,1000,10,0.029436,0.820418,0.688335
CCS,COEVOL,1000,11,0.020198,0.806048,0.836872
CCS,COEVOL,1000,12,0.014762,0.815711,0.771625
CCS,COEVOL,1000,13,0.014404,0.822705,0.808264
CCS,COEVOL,1000,14,0.017750,0.803582,0.426921
CCS,COEVOL,1000,15,0.015960,0.797994,0.762867
CCS,COEVOL,1000,16,0.008621,0.826589,0.865041
CCS,COEVOL,1000,17,0.008412,0.830998,0.725772
CCS,COEVOL,1000,18,0.012886,0.809599,0.866425
CCS,COEVOL,1000,19,0.013476,0.820501,0.660384
CCS,COEVOL,1000,20,0.015524,0.826506,0.540427
CCS,COEVOL,1000,21,0.019647,0.824457,0.761850
CCS,COEVOL,1000,22,0.011972,0.819524,0.937952
CCS,COEVOL,1000,23,0.011936,0.818869,0.679619
CCS,COEVOL,1000,24,0.014239,0.815473,0.512485
CCS,COEVOL,1000,25,0.014667,0.817284,0.852251
CCS,COEVOL,1000,26,0.010484,0.825517,0.632526
CCS,COEVOL,1000,27,0.013846,0.804499,0.782451
CCS,COEVOL,1000,28,0.018300,0.809348,0.852608
CCS,COEVOL,1000,29,0.019313,0.820870,0.731788
CCS,COEVOL,1000,30,0.011379,0.818213,0.770765
CCS,COEVOL,1000,31,0.014102,0.811922,0.702799
CCS,COEVOL,1000,32,0.013670,0.798029,0.518952
CCS,COEVOL,1000,33,0.010404,0.811767,0.810763
CCS,COEVOL,1000,34,0.010610,0.832559,0.691422
CCS,COEVOL,1000,35,0.010991,0.825577,0.668807
CCS,COEVOL,1000,36,0.023480,0.770625,0.914237
CCS,COEVOL,1000,37,0.018807,0.804690,0.656250
CCS,COEVOL,1000,38,0.014598,0.812208,0.710956
CCS,COEVOL,1000,39,0.009927,0.831296,0.736483
CCS,COEVOL,1000,40,0.011341,0.813686,0.683786
CCS,COEVOL,1000,41,0.013369,0.819524,0.969113
CCS,COEVOL,1000,42,0.012657,0.828782,0.762658
CCS,COEVOL,1000,43,0.014699,0.796778,0.720938
CCS,COEVOL,1000,44,0.023200,0.818368,0.583787
CCS,COEVOL,1000,45,0.008621,0.829628,0.790855
CCS,COEVOL,1000,46,0.034453,0.778203,0.760362
CCS,COEVOL,1000,47,0.016536,0.816569,0.568293
CCS,COEVOL,1000,48,0.024920,0.802581,0.662760
CCS,COEVOL,1000,49,0.017721,0.806334,0.752244
CCS,COEVOL,1000,50,0.016964,0.815246,0.703031
ESAIL,RS,1000,1,0.734453,0.043452,0.619465
ESAIL,RS,1000,2,1.000000,0.000000,1.000000
ESAIL,RS,1000,3,0.724032,0.067274,0.557649
ESAIL,RS,1000,4,1.000000,0.000000,1.000000
ESAIL,RS,1000,5,0.590319,0.337185,0.369465
ESAIL,RS,1000,6,1.000000,0.000000,1.000000
ESAIL,RS,1000,7,0.635264,0.193015,0.423141
ESAIL,RS,1000,8,0.660673,0.151015,0.562654
ESAIL,RS,1000,9,0.604633,0.271625,0.432125
ESAIL,RS,1000,10,0.751531,0.042526,0.554368
ESAIL,RS,1000,11,1.000000,0.000000,1.000000
ESAIL,RS,1000,12,0.709500,0.074166,0.519251
ESAIL,RS,1000,13,1.000000,0.000000,1.000000
ESAIL,RS,1000,14,0.622273,0.229514,0.408013
ESAIL,RS,1000,15,1.000000,0.000000,1.000000
ESAIL,RS,1000,16,0.611896,0.029126,0.465725
ESAIL,RS,1000,17,1.000000,0.000000,1.000000
ESAIL,RS,1000,18,0.677229,0.094360,0.448129
ESAIL,RS,1000,19,0.505752,0.263551,0.636895
ESAIL,RS,1000,20,0.814822,0.008054,0.524997
ESAIL,RS,1000,21,0.553022,0.155722,0.803690
ESAIL,RS,1000,22,0.714048,0.077443,0.553210
ESAIL,RS,1000,23,1.000000,0.000000,1.000000
