Variable,Index,Run,Cycle,Iteration,Distance,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdingDistance
CCS,0,40,0,0,2.393452e+01,7,1,-2.396809e+01,-21.0,0,3,Infinity
CCS,0,40,1000,2,2.390888e+01,0,9459,-2.392242e+01,6.0,4,0,Infinity
CCS,0,40,1000,2,2.390888e+01,1,8464,-2.390946e+01,2.0,3,0,1.0963480552006921
CCS,0,40,1000,2,2.390888e+01,2,8096,-2.390666e+01,-11.0,3,0,0.3077216290905047
CCS,0,40,1000,2,2.390888e+01,3,5346,-2.390472e+01,-12.0,1,0,Infinity
CCS,0,40,1000,2,2.390888e+01,4,5070,-2.390892e+01,0.0,3,0,0.4771328592782755
CCS,0,40,1000,2,2.390888e+01,5,4526,-2.390888e+01,-6.0,2,0,0.5959303157088031
CCS,0,40,1000,2,2.390888e+01,6,2724,-2.390722e+01,-9.0,3,0,0.4030072237446739
CCS,0,40,1000,2,2.390888e+01,7,2708,-2.392242e+01,6.0,4,0,Infinity
CCS,0,47,0,0,2.425239e+01,9,1,-2.396809e+01,-21.0,0,4,Infinity
CCS,0,47,1000,2,2.390849e+01,0,6597,-2.390946e+01,2.0,3,0,1.010197821582931
CCS,0,47,1000,2,2.390849e+01,1,5940,-2.390350e+01,-14.0,1,0,Infinity
CCS,0,47,1000,2,2.390849e+01,2,4671,-2.390713e+01,-9.0,2,0,0.4251263532244339
CCS,0,47,1000,2,2.390849e+01,3,3258,-2.390898e+01,0.0,4,0,0.38752107027166616
CCS,0,47,1000,2,2.390849e+01,4,2399,-2.390472e+01,-13.0,1,0,0.23878302642782345
CCS,0,47,1000,2,2.390849e+01,5,1502,-2.390849e+01,-6.0,2,0,0.28539770820176735
CCS,0,47,1000,2,2.390849e+01,6,1238,-2.390518e+01,-11.0,1,0,0.3273892890904261
CCS,0,47,1000,2,2.390849e+01,7,643,-2.390875e+01,-5.0,3,0,0.32589279876481164
CCS,0,47,1000,2,2.390849e+01,8,644,-2.392242e+01,6.0,4,0,Infinity
CCS,0,49,0,0,2.449314e+01,6,1,-2.396809e+01,-21.0,0,2,Infinity
CCS,0,49,1000,2,2.392869e+01,0,1638,-2.392242e+01,6.0,4,0,Infinity
CCS,0,49,1000,2,2.392869e+01,1,1345,-2.392242e+01,6.0,4,0,Infinity
CCS,0,49,1000,2,2.392869e+01,2,1087,-2.390350e+01,-12.0,1,0,Infinity
CCS,0,49,1000,2,2.392869e+01,3,6428,-2.391123e+01,1.0,3,0,0.8822718695541657
CCS,0,49,1000,2,2.392869e+01,4,8914,-2.392195e+01,2.0,3,0,0.8692985889846914
CCS,0,49,1000,2,2.392869e+01,5,225,-2.390778e+01,-5.0,2,0,0.5496719925328218
CCS,0,49,1000,2,2.392869e+01,6,9278,-2.390528e+01,-10.0,1,0,0.4685845754998411
CCS,0,49,1000,2,2.392869e+01,7,4229,-2.390946e+01,-2.0,3,0,0.37599063609068295
CCS,0,49,1000,2,2.392869e+01,8,1373,-2.390937e+01,-4.0,4,0,0.25522972522806653
CCS,0,49,1000,2,2.392869e+01,9,9576,-2.390522e+01,-11.0,3,0,0.20503878239180387
CCS,0,22,0,0,2.425380e+01,5,1,-2.396809e+01,-21.0,0,3,Infinity
CCS,0,22,1000,2,2.390888e+01,0,6482,-2.390985e+01,-1.0,3,0,0.8482952813727369
CCS,0,22,1000,2,2.390888e+01,1,4748,-2.390446e+01,-11.0,2,0,0.5822825818441895
CCS,0,22,1000,2,2.390888e+01,2,3140,-2.390888e+01,-6.0,2,0,0.3359950415750474
CCS,0,22,1000,2,2.390888e+01,3,3096,-2.390865e+01,-9.0,3,0,0.46319589208807777
CCS,0,22,1000,2,2.390888e+01,4,2123,-2.392146e+01,2.0,3,0,0.9898194060778258
CCS,0,22,1000,2,2.390888e+01,5,398,-2.390371e+01,-16.0,2,0,Infinity
CCS,0,22,1000,2,2.390888e+01,6,223,-2.392242e+01,6.0,4,0,Infinity
CCS,0,22,1000,2,2.390888e+01,7,182,-2.390898e+01,-2.0,4,0,0.2792100951861982
CCS,0,25,0,0,2.402544e+01,5,1,-2.396809e+01,-21.0,0,2,Infinity
CCS,0,25,1000,2,2.392861e+01,0,8537,-2.390528e+01,-10.0,1,0,0.1748332084262881
CCS,0,25,1000,2,2.392861e+01,1,6417,-2.390528e+01,-10.0,1,0,0.362325708385424
CCS,0,25,1000,2,2.392861e+01,2,4233,-2.392423e+01,6.0,4,0,Infinity
CCS,0,25,1000,2,2.392861e+01,3,1880,-2.390465e+01,-15.0,1,0,Infinity
CCS,0,25,1000,2,2.392861e+01,4,1396,-2.390771e+01,-7.0,1,0,0.7607500411991258
CCS,0,25,1000,2,2.392861e+01,5,101,-2.390898e+01,2.0,4,0,1.4628410831882879
CCS,0,13,0,0,2.404584e+01,9,1,-2.396809e+01,-21.0,0,2,Infinity
CCS,0,13,1000,2,2.390833e+01,0,7397,-2.390308e+01,-14.0,1,0,Infinity
CCS,0,13,1000,2,2.390833e+01,1,3297,-2.392242e+01,6.0,4,0,Infinity
CCS,0,13,1000,2,2.390833e+01,2,1063,-2.392242e+01,6.0,4,0,Infinity
CCS,0,13,1000,2,2.390833e+01,3,5897,-2.390892e+01,-1.0,3,0,0.9481732417769559
CCS,0,13,1000,2,2.390833e+01,4,7996,-2.390467e+01,-10.0,3,0,0.49327093131469935
CCS,0,13,1000,2,2.390833e+01,5,1121,-2.390833e+01,-6.0,2,0,0.40508167335045153
CCS,0,13,1000,2,2.390833e+01,6,5624,-2.390892e+01,-1.0,3,0,0.3804813176444858
CCS,0,13,1000,2,2.390833e+01,7,9984,-2.390778e+01,-9.0,2,0,0.26424857507659283
CCS,0,13,1000,2,2.390833e+01,8,843,-2.390785e+01,-8.0,3,0,0.17807450926385887
CCS,0,13,1000,2,2.390833e+01,9,418,-2.390892e+01,-1.0,3,0,0.0
CCS,0,14,0,0,2.466255e+01,9,1,-2.396809e+01,-21.0,0,3,2.0
CCS,0,14,1000,2,2.392804e+01,0,3208,-2.390898e+01,1.0,4,0,0.6500305092200661
CCS,0,14,1000,2,2.392804e+01,1,3140,-2.392292e+01,6.0,4,0,Infinity
