Variable,Index,Run,Cycle,Iteration,Distance,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdingDistance
CCS,0,44,0,0,2.398371e+01,9,1,-2.396809e+01,-21.0,0,4,Infinity
CCS,0,44,1000,2,2.392812e+01,0,8509,-2.392242e+01,6.0,4,0,Infinity
CCS,0,44,1000,2,2.392812e+01,1,160,-2.390308e+01,-16.0,1,0,Infinity
CCS,0,44,1000,2,2.392812e+01,2,7122,-2.392242e+01,6.0,4,0,Infinity
CCS,0,44,1000,2,2.392812e+01,3,2145,-2.390892e+01,2.0,3,0,1.016355059958774
CCS,0,44,1000,2,2.392812e+01,4,8768,-2.390834e+01,-5.0,2,0,0.4968690050877841
CCS,0,44,1000,2,2.392812e+01,5,5372,-2.390417e+01,-12.0,1,0,0.44220975093053705
CCS,0,44,1000,2,2.392812e+01,6,8678,-2.390460e+01,-8.0,2,0,0.38498604310334245
CCS,0,44,1000,2,2.392812e+01,7,8437,-2.390722e+01,-7.0,3,0,0.22638436584108657
CCS,0,44,1000,2,2.392812e+01,8,2736,-2.390892e+01,2.0,3,0,0.2117287142090013
CCS,0,44,1000,2,2.392812e+01,9,5587,-2.390722e+01,-7.0,3,0,0.10332210906060094
CCS,0,50,0,0,2.428131e+01,9,1,-2.396809e+01,-21.0,0,2,Infinity
CCS,0,50,1000,2,2.392812e+01,0,7719,-2.392242e+01,6.0,4,0,Infinity
CCS,0,50,1000,2,2.392812e+01,1,221,-2.390350e+01,-13.0,1,0,Infinity
CCS,0,50,1000,2,2.392812e+01,2,7684,-2.392242e+01,6.0,4,0,Infinity
CCS,0,50,1000,2,2.392812e+01,3,6166,-2.390892e+01,2.0,3,0,1.187433694016542
CCS,0,50,1000,2,2.392812e+01,4,2624,-2.390722e+01,-7.0,3,0,0.5247261988160494
CCS,0,50,1000,2,2.392812e+01,5,3411,-2.390363e+01,-10.0,1,0,0.355998419107197
CCS,0,50,1000,2,2.392812e+01,6,6138,-2.390892e+01,2.0,3,0,0.3002627406917906
CCS,0,50,1000,2,2.392812e+01,7,9693,-2.390625e+01,-9.0,2,0,0.24376088556803452
CCS,0,50,1000,2,2.392812e+01,8,2351,-2.390722e+01,-7.0,3,0,0.1949995827970538
CCS,0,50,1000,2,2.392812e+01,9,9362,-2.390625e+01,-9.0,2,0,0.10367356723710205
CCS,0,10,0,0,2.442439e+01,9,1,-2.396809e+01,-21.0,0,4,Infinity
CCS,0,10,1000,2,2.392812e+01,0,10003,-2.390722e+01,-7.0,3,0,0.4417239194590777
CCS,0,10,1000,2,2.392812e+01,1,10010,-2.390363e+01,-9.0,1,0,0.5549334384192652
CCS,0,10,1000,2,2.392812e+01,2,9963,-2.392242e+01,6.0,4,0,Infinity
CCS,0,10,1000,2,2.392812e+01,3,2341,-2.390308e+01,-17.0,1,0,Infinity
CCS,0,10,1000,2,2.392812e+01,4,9591,-2.392242e+01,6.0,4,0,0.0
CCS,0,10,1000,2,2.392812e+01,5,8539,-2.390892e+01,2.0,3,0,1.3511687290781786
CCS,0,10,1000,2,2.392812e+01,6,9719,-2.390722e+01,-7.0,3,0,0.1312563568664402
CCS,0,10,1000,2,2.392812e+01,7,9770,-2.390624e+01,-8.0,2,0,0.27235988944777434
CCS,0,10,1000,2,2.392812e+01,8,9184,-2.392242e+01,6.0,4,0,Infinity
CCS,0,22,0,0,2.394489e+01,7,1,-2.396809e+01,-21.0,0,3,Infinity
CCS,0,22,1000,2,2.390778e+01,0,9393,-2.392242e+01,6.0,4,0,Infinity
CCS,0,22,1000,2,2.390778e+01,1,5747,-2.390308e+01,-11.0,1,0,Infinity
CCS,0,22,1000,2,2.390778e+01,2,4360,-2.392242e+01,6.0,4,0,Infinity
CCS,0,22,1000,2,2.390778e+01,3,5720,-2.390308e+01,-11.0,1,0,Infinity
CCS,0,22,1000,2,2.390778e+01,4,5939,-2.390898e+01,2.0,4,0,0.9922908888357795
CCS,0,22,1000,2,2.390778e+01,5,3517,-2.390892e+01,1.0,3,0,0.5326182157603554
CCS,0,22,1000,2,2.390778e+01,6,3890,-2.390722e+01,-8.0,3,0,0.449919754444233
CCS,0,22,1000,2,2.390778e+01,7,5916,-2.390778e+01,-6.0,2,0,0.44098697497088324
CCS,0,22,1000,2,2.390778e+01,8,5494,-2.390363e+01,-10.0,1,0,0.3905192504614632
CCS,0,22,1000,2,2.390778e+01,9,5839,-2.390778e+01,-6.0,2,0,0.17620288573187406
CCS,0,31,0,0,2.400746e+01,9,1,-2.396809e+01,-21.0,0,4,Infinity
CCS,0,31,1000,2,2.392812e+01,0,6482,-2.392242e+01,6.0,4,0,Infinity
CCS,0,31,1000,2,2.392812e+01,1,5974,-2.390371e+01,-11.0,2,0,Infinity
CCS,0,31,1000,2,2.392812e+01,2,5936,-2.390371e+01,-11.0,2,0,Infinity
CCS,0,31,1000,2,2.392812e+01,3,8353,-2.392242e+01,6.0,4,0,Infinity
CCS,0,31,1000,2,2.392812e+01,4,8820,-2.390892e+01,2.0,3,0,1.0746182997518958
CCS,0,31,1000,2,2.392812e+01,5,5395,-2.390802e+01,-4.0,3,0,0.46337361927219717
CCS,0,31,1000,2,2.392812e+01,6,8370,-2.390666e+01,-10.0,3,0,0.42288386393968913
CCS,0,31,1000,2,2.392812e+01,7,9279,-2.390722e+01,-7.0,3,0,0.3628514975011261
CCS,0,31,1000,2,2.392812e+01,8,9426,-2.390892e+01,2.0,3,0,0.283311920699995
CCS,0,31,1000,2,2.392812e+01,9,9524,-2.390795e+01,-5.0,2,0,0.2191859156084201
CCS,0,15,0,0,2.403586e+01,9,1,-2.396809e+01,-21.0,0,3,Infinity
CCS,0,15,1000,2,2.392812e+01,0,9814,-2.392242e+01,6.0,4,0,Infinity
CCS,0,15,1000,2,2.392812e+01,1,2582,-2.390460e+01,-10.0,2,0,Infinity
CCS,0,15,1000,2,2.392812e+01,2,9671,-2.392242e+01,6.0,4,0,Infinity
CCS,0,15,1000,2,2.392812e+01,3,180,-2.390946e+01,2.0,3,0,1.6654722572976657
CCS,0,15,1000,2,2.392812e+01,4,8127,-2.390722e+01,-7.0,3,0,0.6172190312692734
CCS,0,15,1000,2,2.392812e+01,5,6431,-2.390624e+01,-8.0,2,0,0.3345277427023342
CCS,0,15,1000,2,2.392812e+01,6,6918,-2.390722e+01,-7.0,3,0,0.1882317768590658
CCS,0,15,1000,2,2.392812e+01,7,9534,-2.392242e+01,6.0,4,0,0.0
CCS,0,15,1000,2,2.392812e+01,8,7928,-2.390722e+01,-7.0,3,0,0.0
CCS,0,15,1000,2,2.392812e+01,9,9754,-2.392242e+01,6.0,4,0,0.0
CCS,0,41,0,0,2.432025e+01,7,1,-2.396809e+01,-21.0,0,4,Infinity
CCS,0,41,1000,2,2.399073e+01,0,9734,-2.392242e+01,6.0,4,0,Infinity
CCS,0,41,1000,2,2.399073e+01,1,8776,-2.390308e+01,-11.0,1,0,Infinity
CCS,0,41,1000,2,2.399073e+01,2,8500,-2.390308e+01,-11.0,1,0,Infinity
CCS,0,41,1000,2,2.399073e+01,3,7014,-2.392242e+01,6.0,4,0,Infinity
CCS,0,41,1000,2,2.399073e+01,4,422,-2.390898e+01,2.0,4,0,0.9922908888357795
CCS,0,41,1000,2,2.399073e+01,5,92,-2.390849e+01,-4.0,2,0,0.6171898607027573
