Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
OPAM,CCS,1,0.009524,0.007875,0.874696,0.560025,0.036765,0.333333,0.089211,0.762264,0.333333
OPAM,CCS,2,0.005946,0.002403,0.870073,0.535488,0.043478,0.333333,0.058922,0.762264,0.333333
OPAM,CCS,3,0.006199,0.004861,0.870756,0.645934,0.023364,0.333333,0.117910,0.615094,0.333333
OPAM,CCS,4,0.005911,0.005911,0.874116,0.550624,0.008523,0.333333,0.076930,0.347170,0.333333
OPAM,CCS,5,0.009533,0.004112,0.875136,0.620019,0.036765,0.333333,0.053701,0.762264,0.333333
OPAM,CCS,6,0.015529,0.012986,0.874069,0.465279,0.078947,0.444444,0.086485,0.879245,0.444444
OPAM,CCS,7,0.009095,0.003014,0.873638,0.533591,0.089744,0.444444,0.059519,0.879245,0.444444
OPAM,CCS,8,0.016783,0.012419,0.854838,0.556734,0.017241,0.222222,0.049905,0.577358,0.222222
OPAM,CCS,9,0.035976,0.035976,0.788976,0.132429,0.021368,0.222222,0.162905,0.577358,0.222222
OPAM,CCS,10,0.019404,0.015584,0.867546,0.309458,0.024752,0.444444,0.089039,0.637736,0.444444
OPAM,CCS,11,0.024703,0.021852,0.866058,0.599328,0.007979,0.222222,0.073986,0.301887,0.222222
OPAM,CCS,12,0.012023,0.009240,0.870335,0.688138,0.052632,0.444444,0.056157,0.807547,0.444444
OPAM,CCS,13,0.017222,0.016354,0.874874,0.464555,0.045455,0.444444,0.059293,0.773585,0.444444
OPAM,CCS,14,0.010589,0.006728,0.863083,0.718753,0.052632,0.444444,0.022078,0.807547,0.444444
OPAM,CCS,15,0.006743,0.001277,0.876558,0.729365,0.049180,0.444444,0.037901,0.792453,0.444444
OPAM,CCS,16,0.008148,0.002688,0.872955,0.401505,0.100000,0.444444,0.143249,0.879245,0.444444
OPAM,CCS,17,0.022319,0.017611,0.823479,0.526984,0.000000,0.000000,0.075812,0.000000,0.000000
OPAM,CCS,18,0.008712,0.001394,0.871814,0.694640,0.137931,0.666667,0.055236,0.920755,0.666667
OPAM,CCS,19,0.001005,0.001005,0.877148,0.834590,0.097222,0.555556,0.034004,0.890566,0.555556
OPAM,CCS,20,0.006842,0.005658,0.867069,0.491147,0.089744,0.444444,0.065988,0.879245,0.444444
OPAM,CCS,21,0.017088,0.015902,0.832688,0.502779,0.029070,0.333333,0.064205,0.694340,0.333333
OPAM,CCS,22,0.005938,0.002382,0.875370,0.852697,0.093750,0.555556,0.091118,0.901887,0.555556
OPAM,CCS,23,0.009722,0.004533,0.866320,0.337788,0.004587,0.111111,0.107836,0.184906,0.111111
OPAM,CCS,24,0.022293,0.022293,0.870578,0.459731,0.017241,0.222222,0.081313,0.577358,0.222222
OPAM,CCS,25,0.005530,0.001174,0.875735,0.610495,0.078947,0.444444,0.056556,0.879245,0.444444
OPAM,CCS,26,0.026327,0.020595,0.861267,0.302954,0.011905,0.333333,0.086385,0.381132,0.333333
OPAM,CCS,27,0.005936,0.002557,0.874116,0.881857,0.052632,0.444444,0.018576,0.807547,0.444444
OPAM,CCS,28,0.029260,0.027285,0.848671,0.484295,0.000000,0.000000,0.061400,0.000000,0.000000
OPAM,CCS,29,0.014976,0.014976,0.855381,0.578332,0.010949,0.333333,0.162929,0.494340,0.333333
OPAM,CCS,30,0.003857,0.000730,0.877344,0.470318,0.166667,0.666667,0.060878,0.932075,0.666667
OPAM,CCS,31,0.004980,0.003163,0.870999,0.783415,0.023148,0.444444,0.036405,0.611321,0.444444
OPAM,CCS,32,0.025102,0.019935,0.845911,0.086947,0.010753,0.111111,0.109115,0.313208,0.111111
OPAM,CCS,33,0.025364,0.022227,0.865441,0.309639,0.011029,0.222222,0.096127,0.498113,0.222222
OPAM,CCS,34,0.014143,0.009038,0.869016,0.576550,0.014493,0.333333,0.061823,0.494340,0.333333
OPAM,CCS,35,0.018796,0.005539,0.870822,0.485232,0.033654,0.444444,0.058681,0.633962,0.444444
OPAM,CCS,36,0.005446,0.000869,0.875931,0.736986,0.112903,0.555556,0.040048,0.909434,0.555556
