Variable,Index,Run,Cycle,Iteration,Distance,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdingDistance
UAV,0,44,1000,2,8.399361e+02,0,7907,-8.407034e+02,10.0,0,0,0.0
UAV,0,44,1000,2,8.399361e+02,1,7093,-8.399681e+02,-4.0,0,0,0.0
UAV,0,44,1000,2,8.399361e+02,2,6496,-8.398766e+02,-20.0,0,0,0.0
UAV,0,44,1000,2,8.399361e+02,3,5310,-8.398634e+02,-22.0,76,0,0.0
UAV,0,44,1000,2,8.399361e+02,4,2569,-8.402333e+02,4.0,0,0,0.0
UAV,0,44,1000,2,8.399361e+02,5,2004,-8.398472e+02,-31.0,35,0,0.0
UAV,0,44,1000,2,8.399361e+02,6,1414,-8.400738e+02,-3.0,50,0,0.0
UAV,0,50,1000,2,8.399837e+02,0,5812,-8.404248e+02,4.0,79,0,0.0
UAV,0,50,1000,2,8.399837e+02,1,1296,-8.399400e+02,-1.0,70,0,0.0
UAV,0,50,1000,2,8.399837e+02,2,952,-8.407735e+02,10.0,0,0,0.0
UAV,0,50,1000,2,8.399837e+02,3,868,-8.398831e+02,-23.0,9,0,0.0
UAV,0,50,1000,2,8.399837e+02,4,775,-8.398439e+02,-32.0,7,0,0.0
UAV,0,50,1000,2,8.399837e+02,5,568,-8.398180e+02,-37.0,47,0,0.0
UAV,0,10,1000,2,8.399308e+02,0,8468,-8.398498e+02,-24.0,15,0,0.0
UAV,0,10,1000,2,8.399308e+02,1,7499,-8.399722e+02,-5.0,3,0,0.0
UAV,0,10,1000,2,8.399308e+02,2,5326,-8.399255e+02,-13.0,59,0,0.0
UAV,0,10,1000,2,8.399308e+02,3,4884,-8.397136e+02,-39.0,2,0,0.0
UAV,0,10,1000,2,8.399308e+02,4,4084,-8.397895e+02,-30.0,54,0,0.0
UAV,0,10,1000,2,8.399308e+02,5,2245,-8.399162e+02,-17.0,76,0,0.0
UAV,0,10,1000,2,8.399308e+02,6,1553,-8.401645e+02,10.0,70,0,0.0
UAV,0,22,0,0,8.407443e+02,0,1,-8.403363e+02,-54.0,0,0,0.0
UAV,0,22,1000,2,8.398986e+02,0,9474,-8.399985e+02,-7.0,0,0,0.0
UAV,0,22,1000,2,8.398986e+02,1,8265,-8.401574e+02,5.0,0,0,0.0
UAV,0,22,1000,2,8.398986e+02,2,7563,-8.405577e+02,10.0,0,0,0.0
UAV,0,22,1000,2,8.398986e+02,3,2930,-8.399042e+02,-11.0,42,0,0.0
UAV,0,22,1000,2,8.398986e+02,4,1560,-8.397263e+02,-36.0,53,0,0.0
UAV,0,22,1000,2,8.398986e+02,5,84,-8.398503e+02,-19.0,2,0,0.0
UAV,0,31,1000,2,8.399284e+02,0,9554,-8.400569e+02,-7.0,0,0,0.0
UAV,0,31,1000,2,8.399284e+02,1,8865,-8.399358e+02,-9.0,52,0,0.0
UAV,0,31,1000,2,8.399284e+02,2,7666,-8.401161e+02,-1.0,50,0,0.0
UAV,0,31,1000,2,8.399284e+02,3,6358,-8.399070e+02,-16.0,13,0,0.0
UAV,0,31,1000,2,8.399284e+02,4,4239,-8.398229e+02,-27.0,42,0,0.0
UAV,0,31,1000,2,8.399284e+02,5,3020,-8.404512e+02,10.0,70,0,0.0
UAV,0,31,1000,2,8.399284e+02,6,2595,-8.398151e+02,-39.0,9,0,0.0
UAV,0,31,1000,2,8.399284e+02,7,1378,-8.397748e+02,-40.0,2,0,0.0
UAV,0,31,1000,2,8.399284e+02,8,612,-8.398767e+02,-26.0,2,0,0.0
UAV,0,15,1000,2,8.398997e+02,0,9816,-8.398902e+02,-14.0,8,0,0.0
UAV,0,15,1000,2,8.398997e+02,1,7544,-8.401459e+02,-2.0,0,0,0.0
UAV,0,15,1000,2,8.398997e+02,2,7321,-8.401256e+02,-3.0,52,0,0.0
UAV,0,15,1000,2,8.398997e+02,3,6735,-8.405725e+02,10.0,70,0,0.0
UAV,0,15,1000,2,8.398997e+02,4,6450,-8.397769e+02,-30.0,44,0,0.0
UAV,0,15,1000,2,8.398997e+02,5,5300,-8.398482e+02,-28.0,4,0,0.0
UAV,0,15,1000,2,8.398997e+02,6,1697,-8.398163e+02,-29.0,70,0,0.0
UAV,0,15,1000,2,8.398997e+02,7,950,-8.397483e+02,-38.0,36,0,0.0
UAV,0,15,1000,2,8.398997e+02,8,597,-8.402521e+02,5.0,0,0,0.0
UAV,0,15,1000,2,8.398997e+02,9,162,-8.400123e+02,-6.0,0,0,0.0
UAV,0,15,1000,2,8.398997e+02,10,131,-8.401767e+02,-1.0,70,0,0.0
UAV,0,41,1000,2,8.399653e+02,0,9555,-8.406216e+02,10.0,0,0,0.0
UAV,0,41,1000,2,8.399653e+02,1,8003,-8.400595e+02,-3.0,20,0,0.0
UAV,0,41,1000,2,8.399653e+02,2,6355,-8.399596e+02,-20.0,77,0,0.0
UAV,0,41,1000,2,8.399653e+02,3,4795,-8.402011e+02,1.0,0,0,0.0
UAV,0,41,1000,2,8.399653e+02,4,4219,-8.399260e+02,-21.0,45,0,0.0
UAV,0,41,1000,2,8.399653e+02,5,3463,-8.404478e+02,4.0,0,0,0.0
UAV,0,41,1000,2,8.399653e+02,6,2935,-8.399081e+02,-26.0,79,0,0.0
UAV,0,41,1000,2,8.399653e+02,7,2796,-8.400313e+02,-15.0,0,0,0.0
UAV,0,41,1000,2,8.399653e+02,8,1616,-8.399779e+02,-16.0,0,0,0.0
UAV,0,41,1000,2,8.399653e+02,9,1421,-8.400529e+02,-11.0,0,0,0.0
UAV,0,41,1000,2,8.399653e+02,10,865,-8.401454e+02,-1.0,0,0,0.0
UAV,0,41,1000,2,8.399653e+02,11,64,-8.397724e+02,-28.0,32,0,0.0
UAV,0,48,0,0,8.404261e+02,0,1,-8.403363e+02,-54.0,0,0,0.0
UAV,0,48,1000,2,8.399468e+02,0,9239,-8.399962e+02,-5.0,0,0,0.0
