Variable,Index,Run,Total,Search,P1,P2,Ex,InitHeap,UsedHeap,CommitHeap,MaxHeap,MaxNonHeap
ICS,0,44, 148.393000,124.371000,8.464000,14.694000,0.864000, 4096.000000,136.200000,3925.500000,18204.500000,12.400000
ICS,0,50, 160.062000,132.169000,9.940000,17.123000,0.830000, 4096.000000,122.400000,3925.500000,18204.500000,12.500000
ICS,0,10, 134.430000,110.807000,8.156000,14.243000,1.224000, 4096.000000,127.300000,3925.500000,18204.500000,12.500000
ICS,0,22, 131.627000,108.161000,8.236000,14.430000,0.800000, 4096.000000,125.100000,3925.500000,18204.500000,12.500000
ICS,0,31, 132.726000,109.591000,8.081000,14.413000,0.641000, 4096.000000,126.300000,3925.500000,18204.500000,12.200000
ICS,0,15, 134.563000,110.747000,8.260000,14.527000,1.029000, 4096.000000,134.900000,3925.500000,18204.500000,12.500000
ICS,0,41, 148.798000,124.996000,8.256000,14.751000,0.795000, 4096.000000,130.500000,3925.500000,18204.500000,12.600000
ICS,0,48, 181.860000,148.387000,10.250000,17.656000,5.567000, 4096.000000,126.800000,3925.500000,18204.500000,12.500000
ICS,0,12, 134.942000,111.716000,8.233000,14.246000,0.747000, 4096.000000,116.700000,3925.500000,18204.500000,12.500000
ICS,0,6, 138.569000,112.816000,8.589000,14.677000,2.487000, 4096.000000,119.300000,3925.500000,18204.500000,12.800000
ICS,0,49, 160.325000,129.676000,10.412000,18.097000,2.140000, 4096.000000,137.200000,3925.500000,18204.500000,12.600000
ICS,0,27, 134.078000,111.006000,8.154000,14.218000,0.700000, 4096.000000,121.800000,3925.500000,18204.500000,12.500000
ICS,0,47, 171.040000,136.554000,10.684000,18.199000,5.603000, 4096.000000,136.200000,3925.500000,18204.500000,12.500000
ICS,0,45, 166.666000,134.555000,10.227000,17.751000,4.133000, 4096.000000,141.300000,3925.500000,18204.500000,12.500000
ICS,0,28, 133.487000,110.206000,8.170000,14.380000,0.731000, 4096.000000,126.400000,3925.500000,18204.500000,12.500000
ICS,0,7, 133.707000,110.656000,8.136000,14.175000,0.740000, 4096.000000,135.100000,3925.500000,18204.500000,12.400000
ICS,0,36, 134.682000,112.151000,7.879000,13.979000,0.673000, 4096.000000,137.900000,3925.500000,18204.500000,12.600000
ICS,0,46, 162.202000,130.670000,10.550000,18.518000,2.464000, 4096.000000,125.800000,3925.500000,18204.500000,12.700000
ICS,0,33, 133.496000,110.508000,8.069000,14.333000,0.586000, 4096.000000,136.900000,3925.500000,18204.500000,12.400000
ICS,0,4, 132.154000,108.607000,8.307000,14.536000,0.704000, 4096.000000,134.900000,3925.500000,18204.500000,12.400000
ICS,0,24, 131.024000,108.171000,7.924000,14.114000,0.815000, 4096.000000,123.200000,3925.500000,18204.500000,12.400000
ICS,0,11, 129.129000,105.863000,8.025000,14.395000,0.846000, 4096.000000,131.600000,3925.500000,18204.500000,12.700000
ICS,0,30, 133.898000,109.781000,8.132000,14.224000,1.761000, 4096.000000,132.500000,3925.500000,18204.500000,12.600000
ICS,0,19, 159.597000,132.463000,9.170000,15.471000,2.493000, 4096.000000,128.500000,3925.500000,18204.500000,12.400000
ICS,0,40, 157.123000,130.344000,9.504000,16.446000,0.829000, 4096.000000,126.100000,3925.500000,18204.500000,12.500000
ICS,0,43, 148.689000,124.857000,8.321000,14.462000,1.049000, 4096.000000,141.300000,3925.500000,18204.500000,12.500000
ICS,0,23, 132.536000,109.792000,7.957000,14.018000,0.769000, 4096.000000,126.500000,3925.500000,18204.500000,12.500000
ICS,0,25, 134.247000,110.920000,8.186000,14.464000,0.677000, 4096.000000,138.900000,3925.500000,18204.500000,12.300000
ICS,0,21, 134.920000,110.861000,8.383000,14.921000,0.755000, 4096.000000,137.400000,3925.500000,18204.500000,12.500000
ICS,0,34, 132.615000,110.237000,7.881000,13.828000,0.669000, 4096.000000,138.900000,3925.500000,18204.500000,12.400000
ICS,0,8, 133.055000,109.861000,8.147000,14.324000,0.723000, 4096.000000,123.200000,3925.500000,18204.500000,12.600000
ICS,0,29, 150.910000,126.985000,8.449000,14.682000,0.794000, 4096.000000,124.200000,3925.500000,18204.500000,12.600000
ICS,0,20, 142.385000,115.536000,8.587000,14.501000,3.761000, 4096.000000,133.200000,3925.500000,18204.500000,12.500000
ICS,0,3, 132.155000,109.328000,8.061000,13.981000,0.785000, 4096.000000,133.200000,3925.500000,18204.500000,12.600000
ICS,0,9, 157.616000,132.632000,8.776000,15.200000,1.008000, 4096.000000,129.800000,3925.500000,18204.500000,12.400000
ICS,0,37, 133.413000,110.506000,8.005000,14.091000,0.811000, 4096.000000,133.900000,3925.500000,18204.500000,12.500000
ICS,0,38, 154.283000,127.526000,8.363000,14.648000,3.746000, 4096.000000,124.500000,3925.500000,18204.500000,12.300000
ICS,0,17, 134.756000,111.052000,8.351000,14.526000,0.827000, 4096.000000,124.800000,3925.500000,18204.500000,12.500000
ICS,0,18, 134.827000,111.396000,8.239000,14.483000,0.709000, 4096.000000,124.300000,3925.500000,18204.500000,12.600000
ICS,0,5, 134.018000,110.184000,8.341000,14.527000,0.966000, 4096.000000,121.400000,3925.500000,18204.500000,12.600000
ICS,0,2, 132.067000,108.964000,8.171000,14.232000,0.700000, 4096.000000,133.400000,3925.500000,18204.500000,12.500000
ICS,0,35, 135.790000,111.768000,8.313000,14.622000,1.087000, 4096.000000,124.000000,3925.500000,18204.500000,12.400000
ICS,0,26, 175.042000,148.632000,9.314000,16.040000,1.056000, 4096.000000,127.500000,3925.500000,18204.500000,12.500000
ICS,0,39, 136.463000,111.511000,8.424000,14.764000,1.764000, 4096.000000,128.100000,3925.500000,18204.500000,12.500000
ICS,0,1, 129.187000,105.437000,8.138000,14.644000,0.968000, 4096.000000,130.500000,3925.500000,18204.500000,12.400000
ICS,0,32, 133.674000,110.419000,8.184000,14.370000,0.701000, 4096.000000,136.200000,3925.500000,18204.500000,12.600000
ICS,0,16, 134.568000,111.015000,8.166000,14.260000,1.127000, 4096.000000,122.300000,3925.500000,18204.500000,12.600000
ICS,0,42, 148.268000,124.902000,8.177000,14.304000,0.885000, 4096.000000,125.700000,3925.500000,18204.500000,12.300000
ICS,0,13, 131.914000,108.603000,8.203000,14.350000,0.758000, 4096.000000,134.200000,3925.500000,18204.500000,12.600000
ICS,0,14, 134.218000,111.098000,8.174000,14.250000,0.696000, 4096.000000,134.600000,3925.500000,18204.500000,12.400000
GAP,0,44, 2224.533000,1598.636000,192.700000,334.865000,98.332000, 4096.000000,471.000000,3925.500000,18204.500000,12.800000
GAP,0,50, 1775.084000,1323.456000,135.776000,232.713000,83.139000, 4096.000000,633.100000,3925.500000,18204.500000,13.000000
GAP,0,10, 1759.168000,1304.307000,134.883000,230.222000,89.756000, 4096.000000,616.100000,3925.500000,18204.500000,12.700000
GAP,0,22, 2156.746000,1606.545000,162.107000,278.000000,110.094000, 4096.000000,459.800000,3925.500000,18204.500000,12.700000
GAP,0,31, 2141.031000,1554.239000,172.259000,296.866000,117.667000, 4096.000000,440.700000,3925.500000,18204.500000,12.700000
GAP,0,15, 2278.903000,1707.244000,173.090000,291.504000,107.065000, 4096.000000,514.900000,3925.500000,18204.500000,12.500000
GAP,0,41, 1966.836000,1445.406000,164.030000,284.318000,73.082000, 4096.000000,439.900000,3925.500000,18204.500000,12.700000
GAP,0,48, 1705.919000,1262.141000,137.604000,236.921000,69.253000, 4096.000000,584.800000,3925.500000,18204.500000,12.800000
GAP,0,12, 2029.015000,1467.259000,168.561000,291.093000,102.102000, 4096.000000,531.000000,3925.500000,18204.500000,12.600000
GAP,0,6, 2228.622000,1630.003000,187.468000,323.289000,87.862000, 4096.000000,562.700000,3925.500000,18204.500000,12.800000
GAP,0,49, 1785.909000,1317.021000,136.427000,233.031000,99.430000, 4096.000000,590.300000,3925.500000,18204.500000,12.700000
GAP,0,27, 1699.871000,1251.596000,135.854000,231.539000,80.882000, 4096.000000,560.300000,3925.500000,18204.500000,12.600000
GAP,0,47, 1705.206000,1267.293000,138.093000,236.120000,63.700000, 4096.000000,566.900000,3925.500000,18204.500000,12.700000
GAP,0,45, 2303.333000,1649.647000,190.754000,329.971000,132.961000, 4096.000000,587.900000,3925.500000,18204.500000,12.900000
GAP,0,28, 1677.641000,1254.323000,131.005000,221.497000,70.816000, 4096.000000,561.400000,3925.500000,18204.500000,12.700000
GAP,0,7, 1714.692000,1266.591000,135.317000,229.828000,82.956000, 4096.000000,620.200000,3925.500000,18204.500000,12.800000
GAP,0,36, 1643.175000,1213.716000,136.888000,235.600000,56.971000, 4096.000000,564.800000,3925.500000,18204.500000,12.800000
GAP,0,46, 1850.385000,1408.169000,133.861000,232.921000,75.434000, 4096.000000,624.200000,3925.500000,18204.500000,12.900000
GAP,0,33, 1990.498000,1482.281000,165.263000,280.325000,62.629000, 4096.000000,460.300000,3925.500000,18204.500000,12.800000
GAP,0,4, 2566.249000,1926.074000,193.260000,330.270000,116.645000, 4096.000000,2961.600000,3925.500000,18204.500000,12.900000
GAP,0,24, 1593.135000,1167.325000,140.649000,239.390000,45.771000, 4096.000000,524.800000,3925.500000,18204.500000,12.600000
GAP,0,11, 2303.740000,1681.787000,186.681000,321.292000,113.980000, 4096.000000,497.100000,3925.500000,18204.500000,12.700000
GAP,0,30, 1707.314000,1250.827000,139.884000,234.162000,82.441000, 4096.000000,531.100000,3925.500000,18204.500000,12.700000
GAP,0,19, 2309.141000,1718.936000,187.017000,310.569000,92.619000, 4096.000000,908.700000,3925.500000,18204.500000,12.800000
GAP,0,40, 1794.217000,1318.070000,139.935000,242.419000,93.793000, 4096.000000,614.500000,3925.500000,18204.500000,12.700000
GAP,0,43, 2158.111000,1565.930000,190.521000,327.885000,73.775000, 4096.000000,495.300000,3925.500000,18204.500000,13.000000
GAP,0,23, 3015.110000,2224.769000,211.122000,358.783000,220.436000, 4096.000000,1553.500000,3925.500000,18204.500000,12.600000
GAP,0,25, 1638.840000,1211.571000,137.419000,234.379000,55.471000, 4096.000000,552.500000,3925.500000,18204.500000,12.800000
GAP,0,21, 2129.174000,1540.292000,169.204000,290.846000,128.832000, 4096.000000,440.800000,3925.500000,18204.500000,12.600000
GAP,0,34, 2024.919000,1502.275000,162.966000,281.518000,78.160000, 4096.000000,461.600000,3925.500000,18204.500000,12.700000
GAP,0,8, 1670.840000,1234.018000,137.047000,235.362000,64.413000, 4096.000000,558.000000,3925.500000,18204.500000,12.500000
GAP,0,29, 2325.737000,1666.213000,192.439000,333.300000,133.785000, 4096.000000,555.500000,3925.500000,18204.500000,12.700000
GAP,0,20, 2211.783000,1598.209000,188.174000,325.472000,99.928000, 4096.000000,569.600000,3925.500000,18204.500000,12.700000
GAP,0,3, 2133.951000,1574.961000,169.533000,291.978000,97.479000, 4096.000000,461.800000,3925.500000,18204.500000,12.800000
GAP,0,9, 2182.260000,1662.574000,158.301000,255.524000,105.861000, 4096.000000,2928.100000,3925.500000,18204.500000,12.700000
GAP,0,37, 1682.708000,1247.117000,135.018000,231.696000,68.877000, 4096.000000,594.000000,3925.500000,18204.500000,12.800000
GAP,0,38, 1858.275000,1414.272000,135.848000,236.113000,72.042000, 4096.000000,569.100000,3925.500000,18204.500000,12.700000
GAP,0,17, 2238.868000,1645.147000,168.356000,291.359000,134.006000, 4096.000000,446.800000,3925.500000,18204.500000,12.600000
GAP,0,18, 2089.272000,1527.411000,167.870000,288.912000,105.079000, 4096.000000,484.900000,3925.500000,18204.500000,12.700000
GAP,0,5, 2634.279000,1794.045000,270.131000,392.263000,177.840000, 4096.000000,1275.300000,3925.500000,18204.500000,12.800000
GAP,0,2, 2059.055000,1503.855000,167.969000,291.376000,95.855000, 4096.000000,605.600000,3925.500000,18204.500000,12.900000
