Variable,Index,Run,Total,Search,P1,P2,Ex,InitHeap,UsedHeap,CommitHeap,MaxHeap,MaxNonHeap
UAV,0,44, 939.097000,758.235000,62.517000,103.850000,14.495000, 4096.000000,246.800000,4096.000000,8192.000000,17.200000
UAV,0,50, 635.686000,526.269000,31.703000,75.049000,2.665000, 4096.000000,250.900000,4096.000000,8192.000000,16.900000
UAV,0,10, 810.742000,660.949000,47.906000,87.350000,14.537000, 4096.000000,287.000000,4096.000000,8192.000000,17.200000
UAV,0,22, 910.329000,745.575000,55.533000,100.798000,8.423000, 4096.000000,259.400000,4096.000000,8192.000000,17.300000
UAV,0,31, 978.430000,803.029000,61.406000,98.723000,15.272000, 4096.000000,280.000000,4096.000000,8192.000000,17.100000
UAV,0,15, 1060.585000,868.533000,71.015000,110.906000,10.131000, 4096.000000,251.800000,4096.000000,8192.000000,17.100000
UAV,0,41, 1104.052000,900.272000,75.400000,114.439000,13.941000, 4096.000000,297.800000,4096.000000,8192.000000,17.200000
UAV,0,48, 1083.140000,892.336000,70.258000,107.566000,12.980000, 4096.000000,277.400000,4096.000000,8192.000000,17.300000
UAV,0,12, 1121.277000,886.258000,79.876000,116.964000,38.179000, 4096.000000,261.900000,4096.000000,8192.000000,17.000000
UAV,0,6, 1088.995000,892.766000,72.651000,115.038000,8.540000, 4096.000000,309.000000,4096.000000,8192.000000,17.200000
UAV,0,49, 1003.327000,832.491000,65.170000,101.364000,4.302000, 4096.000000,257.200000,4096.000000,8192.000000,17.100000
UAV,0,27, 1006.982000,820.090000,69.219000,110.906000,6.767000, 4096.000000,241.100000,4096.000000,8192.000000,17.200000
UAV,0,47, 1035.502000,843.449000,72.177000,112.605000,7.271000, 4096.000000,275.700000,4096.000000,8192.000000,17.300000
UAV,0,45, 992.309000,811.873000,65.451000,109.239000,5.746000, 4096.000000,284.500000,4096.000000,8192.000000,17.400000
UAV,0,28, 1004.096000,814.939000,63.735000,105.343000,20.079000, 4096.000000,293.400000,4096.000000,8192.000000,17.200000
UAV,0,7, 803.938000,649.643000,52.363000,100.461000,1.471000, 4096.000000,243.500000,4096.000000,8192.000000,17.100000
UAV,0,36, 898.482000,737.947000,56.026000,99.536000,4.973000, 4096.000000,258.800000,4096.000000,8192.000000,17.200000
UAV,0,46, 940.349000,762.128000,64.384000,104.354000,9.483000, 4096.000000,250.300000,4096.000000,8192.000000,17.300000
UAV,0,33, 930.483000,759.731000,62.827000,101.569000,6.356000, 4096.000000,296.300000,4096.000000,8192.000000,17.100000
UAV,0,4, 840.662000,684.382000,51.799000,95.586000,8.895000, 4096.000000,274.400000,4096.000000,8192.000000,17.200000
UAV,0,24, 904.879000,735.994000,62.708000,104.298000,1.879000, 4096.000000,267.600000,4096.000000,8192.000000,17.000000
UAV,0,11, 687.838000,561.024000,39.899000,84.853000,2.062000, 4096.000000,248.200000,4096.000000,8192.000000,17.000000
UAV,0,30, 973.641000,809.498000,59.854000,101.538000,2.751000, 4096.000000,257.900000,4096.000000,8192.000000,17.300000
UAV,0,19, 1048.072000,854.604000,67.028000,102.268000,24.172000, 4096.000000,292.300000,4096.000000,8192.000000,17.100000
UAV,0,40, 1183.280000,988.227000,76.549000,112.351000,6.153000, 4096.000000,292.900000,4096.000000,8192.000000,17.300000
UAV,0,43, 1097.562000,908.536000,73.197000,110.782000,5.047000, 4096.000000,327.400000,4096.000000,8192.000000,17.200000
UAV,0,23, 1039.611000,826.703000,72.579000,117.233000,23.096000, 4096.000000,267.100000,4096.000000,8192.000000,17.200000
UAV,0,25, 841.881000,682.577000,54.756000,101.982000,2.566000, 4096.000000,261.600000,4096.000000,8192.000000,17.300000
UAV,0,21, 931.345000,755.751000,58.397000,102.066000,15.131000, 4096.000000,278.500000,4096.000000,8192.000000,17.200000
UAV,0,34, 1079.486000,874.612000,71.970000,120.823000,12.081000, 4096.000000,298.100000,4096.000000,8192.000000,17.100000
UAV,0,8, 1045.222000,871.697000,65.402000,104.128000,3.995000, 4096.000000,272.600000,4096.000000,8192.000000,17.100000
UAV,0,29, 1004.570000,823.674000,61.025000,99.196000,20.675000, 4096.000000,277.100000,4096.000000,8192.000000,17.100000
UAV,0,20, 1080.957000,892.215000,66.716000,101.324000,20.702000, 4096.000000,307.200000,4096.000000,8192.000000,17.200000
