Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,44,1,0,0,-814.6758629807778,-25.0,140,0,0.0
UAV,44,1,1,1,-814.7714860702041,10.0,0,0,0.0
UAV,44,1,2,2,-814.7498357262411,5.0,1000,0,0.0
UAV,44,1,3,3,-814.6926336864717,-14.0,91,0,0.0
UAV,44,1,4,4,-814.7364475905459,3.0,0,0,0.0
UAV,44,1,5,5,-814.7133982382599,-10.0,53,0,0.0
UAV,44,1,6,6,-814.7191031919656,-2.0,0,0,0.0
UAV,44,1,7,7,-814.684207131111,-18.0,1378,0,0.0
UAV,44,1,8,8,-814.6819702902703,-22.0,324,0,0.0
UAV,44,1,9,9,-814.7232466117371,-3.0,1014,0,0.0
UAV,50,1,0,0,-814.6828695938045,-20.0,1283,0,0.0
UAV,50,1,1,1,-814.7718238135824,10.0,0,0,0.0
UAV,50,1,2,2,-814.7513140865647,5.0,1000,0,0.0
UAV,50,1,3,3,-814.6840555448367,-16.0,1142,0,0.0
UAV,50,1,4,4,-814.7013334182977,-11.0,1142,0,0.0
UAV,50,1,5,5,-814.7381478718432,3.0,0,0,0.0
UAV,50,1,6,6,-814.7104855727736,-7.0,0,0,0.0
UAV,50,1,7,7,-814.7427056366795,-1.0,1142,0,0.0
UAV,50,1,8,8,-814.7298935590987,-2.0,1238,0,0.0
UAV,50,1,9,9,-814.7163180223771,-5.0,53,0,0.0
UAV,10,1,0,0,-814.6469448895303,-34.0,1476,0,0.0
UAV,10,1,1,1,-814.7714907378129,10.0,0,0,0.0
UAV,10,1,2,2,-814.7714907378129,10.0,0,0,0.0
UAV,10,1,3,3,-814.75675893733,5.0,0,0,0.0
UAV,10,1,4,4,-814.7257859034379,-4.0,0,0,0.0
UAV,10,1,5,5,-814.6975033902518,-16.0,1179,0,0.0
UAV,10,1,6,6,-814.7020030914658,-11.0,1030,0,0.0
UAV,10,1,7,7,-814.6503031441206,-30.0,1476,0,0.0
UAV,10,1,8,8,-814.6714054963289,-24.0,1161,0,0.0
UAV,10,1,9,9,-814.7134444770289,-6.0,7,0,0.0
UAV,22,1,0,0,-814.6538438280094,-31.0,87,0,0.0
UAV,22,1,1,1,-814.7718931874034,10.0,0,0,0.0
UAV,22,1,2,2,-814.7718931874034,10.0,0,0,0.0
UAV,22,1,3,3,-814.698559549465,-12.0,1041,0,0.0
UAV,22,1,4,4,-814.7306821604086,0.0,1000,0,0.0
UAV,22,1,5,5,-814.712674012793,-10.0,1155,0,0.0
UAV,22,1,6,6,-814.7276919786102,-5.0,1164,0,0.0
UAV,22,1,7,7,-814.6788771759661,-24.0,10,0,0.0
UAV,22,1,8,8,-814.7498721732511,5.0,1000,0,0.0
UAV,22,1,9,9,-814.6816780556965,-17.0,1041,0,0.0
UAV,31,1,0,0,-814.7740510452574,10.0,0,0,0.0
UAV,31,1,1,1,-814.6864542573627,-33.0,14,0,0.0
UAV,31,1,2,2,-814.7248727836327,-2.0,1238,0,0.0
UAV,31,1,3,3,-814.7024033685577,-12.0,1382,0,0.0
UAV,31,1,4,4,-814.6956544888931,-15.0,1,0,0.0
UAV,31,1,5,5,-814.7506403541828,5.0,0,0,0.0
UAV,31,1,6,6,-814.7445412253925,2.0,1014,0,0.0
UAV,31,1,7,7,-814.6805525864397,-25.0,1263,0,0.0
UAV,31,1,8,8,-814.6860470009623,-22.0,1191,0,0.0
UAV,31,1,9,9,-814.7599761689551,3.0,2599,0,0.0
UAV,15,1,0,0,-814.6670694080823,-32.0,47,0,0.0
UAV,15,1,1,1,-814.7732665292205,10.0,1000,0,0.0
UAV,15,1,2,2,-814.7512342580344,5.0,1000,0,0.0
UAV,15,1,3,3,-814.7306702023419,0.0,1000,0,0.0
UAV,15,1,4,4,-814.722421355807,-5.0,1240,0,0.0
