Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,44,1,0,0,-789.1694779260574,-25.0,2,0,0.0
UAV,44,1,1,1,-789.208375112967,10.0,0,0,0.0
UAV,44,1,2,2,-789.1983680978012,5.0,20,0,0.0
UAV,44,1,3,3,-789.1657746805379,-14.0,0,0,0.0
UAV,44,1,4,4,-789.1874206664526,3.0,0,0,0.0
UAV,44,1,5,5,-789.1741814038519,-10.0,0,0,0.0
UAV,44,1,6,6,-789.1824673368045,-2.0,0,0,0.0
UAV,44,1,7,7,-789.1670866233586,-18.0,26,0,0.0
UAV,44,1,8,8,-789.1715429375674,-22.0,2,0,0.0
UAV,44,1,9,9,-789.1810269288068,-3.0,21,0,0.0
UAV,50,1,0,0,-789.1595930391304,-20.0,24,0,0.0
UAV,50,1,1,1,-789.2096831766443,10.0,0,0,0.0
UAV,50,1,2,2,-789.193483101391,5.0,20,0,0.0
UAV,50,1,3,3,-789.1598559582395,-16.0,23,0,0.0
UAV,50,1,4,4,-789.1679619742515,-11.0,23,0,0.0
UAV,50,1,5,5,-789.184735468614,3.0,0,0,0.0
UAV,50,1,6,6,-789.167766705591,-7.0,0,0,0.0
UAV,50,1,7,7,-789.1779891044372,-1.0,23,0,0.0
UAV,50,1,8,8,-789.18143564154,-2.0,26,0,0.0
UAV,50,1,9,9,-789.1717442627336,-5.0,0,0,0.0
UAV,10,1,0,0,-789.1525477822227,-34.0,24,0,0.0
UAV,10,1,1,1,-789.2083333101929,10.0,0,0,0.0
UAV,10,1,2,2,-789.2083333101929,10.0,0,0,0.0
UAV,10,1,3,3,-789.204365525284,5.0,0,0,0.0
UAV,10,1,4,4,-789.1843876833337,-4.0,0,0,0.0
UAV,10,1,5,5,-789.1710998699964,-16.0,23,0,0.0
UAV,10,1,6,6,-789.1685096832573,-11.0,22,0,0.0
UAV,10,1,7,7,-789.1527882043938,-30.0,24,0,0.0
UAV,10,1,8,8,-789.1647350398431,-24.0,22,0,0.0
UAV,10,1,9,9,-789.1820234871678,-6.0,0,0,0.0
UAV,22,1,0,0,-789.1563435722264,-31.0,0,0,0.0
UAV,22,1,1,1,-789.2090799650466,10.0,0,0,0.0
UAV,22,1,2,2,-789.2090799650466,10.0,0,0,0.0
UAV,22,1,3,3,-789.174729608929,-12.0,21,0,0.0
UAV,22,1,4,4,-789.1902703876409,0.0,20,0,0.0
UAV,22,1,5,5,-789.1821660193809,-10.0,21,0,0.0
UAV,22,1,6,6,-789.1804684754898,-5.0,22,0,0.0
UAV,22,1,7,7,-789.1629382481672,-24.0,0,0,0.0
UAV,22,1,8,8,-789.1983804158741,5.0,20,0,0.0
