Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,44,1,0,0,-802.2310827229015,-25.0,639,0,0.0
UAV,44,1,1,1,-802.4381964034712,10.0,0,0,0.0
UAV,44,1,2,2,-802.3992390179641,5.0,1000,0,0.0
UAV,44,1,3,3,-802.2805104480642,-14.0,272,0,0.0
UAV,44,1,4,4,-802.3698241108048,3.0,0,0,0.0
UAV,44,1,5,5,-802.3178238267064,-10.0,52,0,0.0
UAV,44,1,6,6,-802.3532672223394,-2.0,0,0,0.0
UAV,44,1,7,7,-802.2520260510848,-18.0,2158,0,0.0
UAV,44,1,8,8,-802.2379699544314,-22.0,1006,0,0.0
UAV,44,1,9,9,-802.3408269754037,-3.0,1134,0,0.0
UAV,50,1,0,0,-802.247608998833,-20.0,1787,0,0.0
UAV,50,1,1,1,-802.4270840706381,10.0,0,0,0.0
UAV,50,1,2,2,-802.4001607887099,5.0,1000,0,0.0
UAV,50,1,3,3,-802.2632051391032,-16.0,1434,0,0.0
UAV,50,1,4,4,-802.2910064469884,-11.0,1434,0,0.0
UAV,50,1,5,5,-802.3719888192654,3.0,0,0,0.0
UAV,50,1,6,6,-802.3201949224847,-7.0,0,0,0.0
UAV,50,1,7,7,-802.3734731266327,-1.0,1434,0,0.0
UAV,50,1,8,8,-802.3444369487122,-2.0,1829,0,0.0
UAV,50,1,9,9,-802.3270892886277,-5.0,52,0,0.0
UAV,10,1,0,0,-802.1939904133843,-34.0,2111,0,0.0
UAV,10,1,1,1,-802.438204813894,10.0,0,0,0.0
UAV,10,1,2,2,-802.438204813894,10.0,0,0,0.0
UAV,10,1,3,3,-802.3990710694991,5.0,0,0,0.0
UAV,10,1,4,4,-802.3348257993019,-4.0,0,0,0.0
UAV,10,1,5,5,-802.2744334078851,-16.0,1697,0,0.0
UAV,10,1,6,6,-802.2937172030411,-11.0,1297,0,0.0
UAV,10,1,7,7,-802.1971132666283,-30.0,2111,0,0.0
UAV,10,1,8,8,-802.2283911566162,-24.0,1537,0,0.0
UAV,10,1,9,9,-802.3169592571783,-6.0,2,0,0.0
UAV,22,1,0,0,-802.2226002125245,-31.0,291,0,0.0
UAV,22,1,1,1,-802.4438878786868,10.0,0,0,0.0
UAV,22,1,2,2,-802.4438878786868,10.0,0,0,0.0
UAV,22,1,3,3,-802.2866730867277,-12.0,1270,0,0.0
UAV,22,1,4,4,-802.3611261364132,0.0,1000,0,0.0
UAV,22,1,5,5,-802.3078907844351,-10.0,1556,0,0.0
UAV,22,1,6,6,-802.3373443037947,-5.0,1499,0,0.0
UAV,22,1,7,7,-802.2433250077419,-24.0,68,0,0.0
UAV,22,1,8,8,-802.3992752989665,5.0,1000,0,0.0
UAV,22,1,9,9,-802.2563093433955,-17.0,1270,0,0.0
UAV,31,1,0,0,-802.4293343197174,10.0,0,0,0.0
UAV,31,1,1,1,-802.2705222662224,-33.0,103,0,0.0
UAV,31,1,2,2,-802.3449524834191,-2.0,1829,0,0.0
UAV,31,1,3,3,-802.2961458652621,-12.0,2081,0,0.0
UAV,31,1,4,4,-802.2881591627198,-15.0,20,0,0.0
UAV,31,1,5,5,-802.3933536878244,5.0,0,0,0.0
UAV,31,1,6,6,-802.3810880598916,2.0,1134,0,0.0
UAV,31,1,7,7,-802.256684216096,-25.0,1696,0,0.0
UAV,31,1,8,8,-802.2621359951895,-22.0,1600,0,0.0
UAV,31,1,9,9,-802.3805434259526,3.0,2847,0,0.0
UAV,15,1,0,0,-802.2294643337489,-32.0,226,0,0.0
UAV,15,1,1,1,-802.4411380627922,10.0,1000,0,0.0
UAV,15,1,2,2,-802.4001299621165,5.0,1000,0,0.0
UAV,15,1,3,3,-802.3611221931757,0.0,1000,0,0.0
UAV,15,1,4,4,-802.3374508036098,-5.0,1873,0,0.0
UAV,15,1,5,5,-802.2925943652341,-10.0,1880,0,0.0
UAV,15,1,6,6,-802.2893163845345,-14.0,2234,0,0.0
UAV,15,1,7,7,-802.2350114543489,-21.0,2035,0,0.0
UAV,15,1,8,8,-802.2194302019371,-28.0,150,0,0.0
UAV,15,1,9,9,-802.2794383564657,-17.0,1633,0,0.0
UAV,41,1,0,0,-802.2067418264451,-28.0,1797,0,0.0
UAV,41,1,1,1,-802.4411760526461,10.0,1000,0,0.0
UAV,41,1,2,2,-802.4016749902092,5.0,1000,0,0.0
UAV,41,1,3,3,-802.2465594537767,-22.0,96,0,0.0
UAV,41,1,4,4,-802.354946107917,0.0,1000,0,0.0
UAV,41,1,5,5,-802.3046489922293,-12.0,182,0,0.0
UAV,41,1,6,6,-802.3401404978782,-5.0,1308,0,0.0
UAV,41,1,7,7,-802.3060346345783,-7.0,1829,0,0.0
UAV,41,1,8,8,-802.2596310902475,-16.0,2346,0,0.0
UAV,41,1,9,9,-802.2382427076249,-21.0,2124,0,0.0
UAV,48,1,0,0,-802.2193516245007,-28.0,145,0,0.0
UAV,48,1,1,1,-802.4453389849583,10.0,0,0,0.0
UAV,48,1,2,2,-802.4453389849583,10.0,0,0,0.0
UAV,48,1,3,3,-802.2671352187702,-16.0,1507,0,0.0
UAV,48,1,4,4,-802.3990329681735,5.0,0,0,0.0
UAV,48,1,5,5,-802.3049713827057,-9.0,2044,0,0.0
UAV,48,1,6,6,-802.3449656051791,-2.0,1829,0,0.0
UAV,48,1,7,7,-802.3263075036816,-6.0,204,0,0.0
UAV,48,1,8,8,-802.2434376209918,-20.0,1504,0,0.0
UAV,48,1,9,9,-802.3782722804169,1.0,1134,0,0.0
UAV,12,1,0,0,-802.2467385211177,-21.0,1907,0,0.0
UAV,12,1,1,1,-802.4384088647606,10.0,0,0,0.0
UAV,12,1,2,2,-802.3550000766617,-1.0,0,0,0.0
UAV,12,1,3,3,-802.4001607887099,5.0,1000,0,0.0
UAV,12,1,4,4,-802.3346639794111,-5.0,1434,0,0.0
UAV,12,1,5,5,-802.3856051591379,3.0,1829,0,0.0
UAV,12,1,6,6,-802.2509788706218,-20.0,1519,0,0.0
UAV,12,1,7,7,-802.3041211297996,-9.0,1134,0,0.0
UAV,12,1,8,8,-802.2656677322553,-16.0,1297,0,0.0
UAV,12,1,9,9,-802.2915169280338,-11.0,1297,0,0.0
UAV,6,1,0,0,-802.43775544936,10.0,0,0,0.0
UAV,6,1,1,1,-802.2040741741607,-30.0,2020,0,0.0
UAV,6,1,2,2,-802.3218867492473,-9.0,1427,0,0.0
UAV,6,1,3,3,-802.3449656051791,-2.0,1829,0,0.0
UAV,6,1,4,4,-802.2841027115142,-14.0,1427,0,0.0
UAV,6,1,5,5,-802.3992889003779,5.0,1000,0,0.0
UAV,6,1,6,6,-802.2513715026251,-20.0,1211,0,0.0
UAV,6,1,7,7,-802.3698332112152,3.0,0,0,0.0
UAV,6,1,8,8,-802.225198989022,-25.0,1764,0,0.0
UAV,6,1,9,9,-802.2091719550845,-28.0,1903,0,0.0
UAV,49,1,0,0,-802.4381961945634,10.0,0,0,0.0
UAV,49,1,1,1,-802.4381961945634,10.0,0,0,0.0
UAV,49,1,2,2,-802.2572187627426,-25.0,15,0,0.0
UAV,49,1,3,3,-802.2903718347486,-14.0,43,0,0.0
UAV,49,1,4,4,-802.4001607887099,5.0,1000,0,0.0
UAV,49,1,5,5,-802.2977263251394,-10.0,1499,0,0.0
UAV,49,1,6,6,-802.2564674451348,-21.0,383,0,0.0
UAV,49,1,7,7,-802.3720178149649,3.0,0,0,0.0
UAV,49,1,8,8,-802.3558397393871,-2.0,0,0,0.0
UAV,49,1,9,9,-802.3185923816919,-7.0,1000,0,0.0
UAV,27,1,0,0,-802.229639099959,-24.0,1741,0,0.0
UAV,27,1,1,1,-802.4377237028461,10.0,0,0,0.0
UAV,27,1,2,2,-802.3446853840148,-3.0,1829,0,0.0
UAV,27,1,3,3,-802.3065143590998,-8.0,1829,0,0.0
UAV,27,1,4,4,-802.2523132558757,-21.0,224,0,0.0
UAV,27,1,5,5,-802.4036646120734,5.0,0,0,0.0
UAV,27,1,6,6,-802.3578042704505,0.0,1000,0,0.0
UAV,27,1,7,7,-802.2726067784251,-13.0,1829,0,0.0
UAV,27,1,8,8,-802.2624606043934,-17.0,1507,0,0.0
UAV,27,1,9,9,-802.383367525401,3.0,2847,0,0.0
UAV,47,1,0,0,-802.4119305680853,10.0,0,0,0.0
UAV,47,1,1,1,-802.2097512747705,-29.0,1918,0,0.0
UAV,47,1,2,2,-802.4119305680853,10.0,0,0,0.0
UAV,47,1,3,3,-802.3565871810507,0.0,1000,0,0.0
UAV,47,1,4,4,-802.3323183438852,-8.0,3024,0,0.0
UAV,47,1,5,5,-802.3968642418465,5.0,0,0,0.0
UAV,47,1,6,6,-802.2580722206893,-19.0,1711,0,0.0
UAV,47,1,7,7,-802.2795641739866,-15.0,1895,0,0.0
UAV,47,1,8,8,-802.2981637510944,-11.0,2343,0,0.0
UAV,47,1,9,9,-802.2229634328071,-24.0,1711,0,0.0
UAV,45,1,0,0,-802.4382046049855,10.0,0,0,0.0
UAV,45,1,1,1,-802.2203879470937,-32.0,41,0,0.0
UAV,45,1,2,2,-802.2317787529707,-23.0,1772,0,0.0
UAV,45,1,3,3,-802.2835256673253,-14.0,1427,0,0.0
UAV,45,1,4,4,-802.3006769929201,-9.0,2044,0,0.0
UAV,45,1,5,5,-802.2466686636485,-20.0,2013,0,0.0
UAV,45,1,6,6,-802.3427155766557,-4.0,2044,0,0.0
UAV,45,1,7,7,-802.4014555988274,5.0,0,0,0.0
UAV,45,1,8,8,-802.3592397370068,-1.0,2847,0,0.0
UAV,45,1,9,9,-802.3511258547331,-2.0,2847,0,0.0
UAV,28,1,0,0,-802.2499515263967,-21.0,1359,0,0.0
UAV,28,1,1,1,-802.4376558402976,10.0,0,0,0.0
UAV,28,1,2,2,-802.3987699228961,5.0,1000,0,0.0
UAV,28,1,3,3,-802.3444118833619,-2.0,1829,0,0.0
UAV,28,1,4,4,-802.38056405524,2.0,1134,0,0.0
UAV,28,1,5,5,-802.2525457513508,-18.0,1925,0,0.0
UAV,28,1,6,6,-802.3373049907857,-5.0,1499,0,0.0
UAV,28,1,7,7,-802.3244443030839,-8.0,1197,0,0.0
UAV,28,1,8,8,-802.3000990258665,-10.0,1499,0,0.0
UAV,28,1,9,9,-802.2672558117874,-15.0,1499,0,0.0
UAV,7,1,0,0,-802.2148372904604,-34.0,2131,0,0.0
UAV,7,1,1,1,-802.443894731814,10.0,0,0,0.0
UAV,7,1,2,2,-802.443894731814,10.0,0,0,0.0
UAV,7,1,3,3,-802.3157351666704,-8.0,34,0,0.0
UAV,7,1,4,4,-802.3512488231705,-3.0,881,0,0.0
UAV,7,1,5,5,-802.2249584612738,-28.0,770,0,0.0
UAV,7,1,6,6,-802.234392973288,-23.0,941,0,0.0
UAV,7,1,7,7,-802.2908103580976,-14.0,34,0,0.0
UAV,7,1,8,8,-802.4070699032496,5.0,0,0,0.0
UAV,7,1,9,9,-802.3633033587686,1.0,0,0,0.0
UAV,36,1,0,0,-802.2473180542685,-20.0,1415,0,0.0
UAV,36,1,1,1,-802.43775544936,10.0,0,0,0.0
UAV,36,1,2,2,-802.43775544936,10.0,0,0,0.0
UAV,36,1,3,3,-802.4001607887099,5.0,1000,0,0.0
UAV,36,1,4,4,-802.3038278069256,-7.0,1829,0,0.0
UAV,36,1,5,5,-802.2668077568067,-14.0,1829,0,0.0
UAV,36,1,6,6,-802.2730065340861,-12.0,1829,0,0.0
UAV,36,1,7,7,-802.3402983189367,-3.0,1134,0,0.0
UAV,36,1,8,8,-802.3550817130861,0.0,1000,0,0.0
UAV,36,1,9,9,-802.3444369487122,-2.0,1829,0,0.0
UAV,46,1,0,0,-802.4384486850361,10.0,0,0,0.0
UAV,46,1,1,1,-802.4384486850361,10.0,0,0,0.0
UAV,46,1,2,2,-802.2357927492466,-22.0,1702,0,0.0
UAV,46,1,3,3,-802.3992744463941,5.0,1000,0,0.0
UAV,46,1,4,4,-802.3752288074692,0.0,1434,0,0.0
UAV,46,1,5,5,-802.2807647326871,-13.0,2009,0,0.0
UAV,46,1,6,6,-802.3336499315302,-5.0,1434,0,0.0
UAV,46,1,7,7,-802.2650148747724,-15.0,1434,0,0.0
UAV,46,1,8,8,-802.3488463798792,-4.0,1062,0,0.0
UAV,46,1,9,9,-802.2396749978683,-20.0,1484,0,0.0
UAV,33,1,0,0,-802.2214066304629,-28.0,1846,0,0.0
UAV,33,1,1,1,-802.4384174412875,10.0,0,0,0.0
UAV,33,1,2,2,-802.4001223091692,5.0,1000,0,0.0
UAV,33,1,3,3,-802.3078854381071,-7.0,1829,0,0.0
UAV,33,1,4,4,-802.27301158746,-12.0,1829,0,0.0
UAV,33,1,5,5,-802.3611213294171,0.0,1000,0,0.0
UAV,33,1,6,6,-802.2434822984276,-20.0,1600,0,0.0
UAV,33,1,7,7,-802.3449524834191,-2.0,1829,0,0.0
UAV,33,1,8,8,-802.2594660787078,-17.0,2346,0,0.0
UAV,33,1,9,9,-802.2265309257243,-25.0,2075,0,0.0
UAV,4,1,0,0,-802.2212744323775,-31.0,2171,0,0.0
UAV,4,1,1,1,-802.4379163628622,10.0,0,0,0.0
UAV,4,1,2,2,-802.4379163628622,10.0,0,0,0.0
UAV,4,1,3,3,-802.251824475368,-19.0,1517,0,0.0
UAV,4,1,4,4,-802.4001299621165,5.0,1000,0,0.0
UAV,4,1,5,5,-802.3162128584618,-7.0,1507,0,0.0
UAV,4,1,6,6,-802.2734819092786,-14.0,442,0,0.0
UAV,4,1,7,7,-802.3531176160391,-3.0,0,0,0.0
UAV,4,1,8,8,-802.2247959010061,-24.0,1828,0,0.0
UAV,4,1,9,9,-802.2949712623524,-10.0,1873,0,0.0
UAV,24,1,0,0,-802.1961293239123,-35.0,2131,0,0.0
UAV,24,1,1,1,-802.1961290781209,-35.0,2131,0,0.0
UAV,24,1,2,2,-802.4382261758001,10.0,0,0,0.0
UAV,24,1,3,3,-802.4382261758001,10.0,0,0,0.0
UAV,24,1,4,4,-802.3127619158059,-10.0,186,0,0.0
UAV,24,1,5,5,-802.3396683562581,-4.0,0,0,0.0
UAV,24,1,6,6,-802.2145195640636,-28.0,1723,0,0.0
UAV,24,1,7,7,-802.2417415099151,-23.0,322,0,0.0
UAV,24,1,8,8,-802.4001299621165,5.0,1000,0,0.0
UAV,24,1,9,9,-802.368719098847,2.0,0,0,0.0
UAV,11,1,0,0,-802.2207109012961,-27.0,1861,0,0.0
UAV,11,1,1,1,-802.4430141882074,10.0,0,0,0.0
UAV,11,1,2,2,-802.3187055738988,-8.0,2948,0,0.0
UAV,11,1,3,3,-802.2509522691053,-20.0,1591,0,0.0
UAV,11,1,4,4,-802.4016758427815,5.0,1000,0,0.0
UAV,11,1,5,5,-802.2977998607394,-14.0,2213,0,0.0
UAV,11,1,6,6,-802.3505491667177,-4.0,1062,0,0.0
UAV,11,1,7,7,-802.2840347564481,-15.0,1591,0,0.0
UAV,11,1,8,8,-802.2220379526342,-25.0,1861,0,0.0
UAV,11,1,9,9,-802.3698516756724,3.0,0,0,0.0
UAV,30,1,0,0,-802.4119853551103,10.0,0,0,0.0
UAV,30,1,1,1,-802.2011820887792,-35.0,2027,0,0.0
UAV,30,1,2,2,-802.2981659833204,-15.0,2984,0,0.0
UAV,30,1,3,3,-802.3205673483569,-6.0,0,0,0.0
UAV,30,1,4,4,-802.2509280798342,-21.0,211,0,0.0
UAV,30,1,5,5,-802.3603479135195,-1.0,0,0,0.0
UAV,30,1,6,6,-802.2236160443707,-28.0,1841,0,0.0
UAV,30,1,7,7,-802.226789030436,-25.0,1825,0,0.0
UAV,30,1,8,8,-802.3961397577001,4.0,0,0,0.0
UAV,30,1,9,9,-802.3990464478818,5.0,0,0,0.0
UAV,19,1,0,0,-802.2702725927983,-17.0,1318,0,0.0
UAV,19,1,1,1,-802.438204813894,10.0,0,0,0.0
UAV,19,1,2,2,-802.4001217510538,5.0,1000,0,0.0
UAV,19,1,3,3,-802.294235609925,-14.0,1087,0,0.0
UAV,19,1,4,4,-802.372011197066,3.0,0,0,0.0
UAV,19,1,5,5,-802.3141664905725,-8.0,20,0,0.0
UAV,19,1,6,6,-802.3624902577923,-1.0,1000,0,0.0
UAV,19,1,7,7,-802.3229519488181,-6.0,86,0,0.0
UAV,19,1,8,8,-802.3346861582512,-4.0,0,0,0.0
UAV,19,1,9,9,-802.2601644788189,-16.0,1873,0,0.0
UAV,40,1,0,0,-802.4271608301209,10.0,0,0,0.0
UAV,40,1,1,1,-802.2434759733924,-21.0,1840,0,0.0
UAV,40,1,2,2,-802.4036646120733,5.0,0,0,0.0
UAV,40,1,3,3,-802.2696242860039,-17.0,34,0,0.0
UAV,40,1,4,4,-802.2909076264962,-12.0,1313,0,0.0
UAV,40,1,5,5,-802.3019048893831,-9.0,2044,0,0.0
UAV,40,1,6,6,-802.3422283282335,-4.0,3024,0,0.0
UAV,40,1,7,7,-802.3606195955479,0.0,1000,0,0.0
UAV,40,1,8,8,-802.338089822764,-5.0,1468,0,0.0
UAV,40,1,9,9,-802.3861075297315,3.0,881,0,0.0
UAV,43,1,0,0,-802.4376558402976,10.0,0,0,0.0
UAV,43,1,1,1,-802.4376558402976,10.0,0,0,0.0
UAV,43,1,2,2,-802.2316732442763,-25.0,1466,0,0.0
UAV,43,1,3,3,-802.3992889003779,5.0,1000,0,0.0
UAV,43,1,4,4,-802.2499630720487,-19.0,1448,0,0.0
UAV,43,1,5,5,-802.3782455136324,1.0,1134,0,0.0
UAV,43,1,6,6,-802.3073779117811,-7.0,1829,0,0.0
UAV,43,1,7,7,-802.2615541149648,-16.0,1434,0,0.0
UAV,43,1,8,8,-802.272510898103,-12.0,1829,0,0.0
UAV,43,1,9,9,-802.3444118833619,-2.0,1829,0,0.0
UAV,23,1,0,0,-802.2245680070173,-31.0,323,0,0.0
UAV,23,1,1,1,-802.2245680070173,-31.0,323,0,0.0
UAV,23,1,2,2,-802.4376558402978,10.0,0,0,0.0
UAV,23,1,3,3,-802.3375286998071,-5.0,1468,0,0.0
UAV,23,1,4,4,-802.2678392267603,-18.0,49,0,0.0
UAV,23,1,5,5,-802.3588894068886,0.0,1000,0,0.0
UAV,23,1,6,6,-802.3252150213575,-9.0,1497,0,0.0
UAV,23,1,7,7,-802.2888054099022,-13.0,1211,0,0.0
UAV,23,1,8,8,-802.399658971201,5.0,1000,0,0.0
UAV,23,1,9,9,-802.2299185885585,-24.0,1985,0,0.0
UAV,25,1,0,0,-802.1915233848588,-39.0,2112,0,0.0
UAV,25,1,1,1,-802.437869247869,10.0,0,0,0.0
UAV,25,1,2,2,-802.2538949565047,-18.0,1343,0,0.0
UAV,25,1,3,3,-802.3455293456603,-4.0,1134,0,0.0
UAV,25,1,4,4,-802.3006769929201,-9.0,2044,0,0.0
UAV,25,1,5,5,-802.2332120259193,-26.0,498,0,0.0
UAV,25,1,6,6,-802.2047772166272,-31.0,1923,0,0.0
UAV,25,1,7,7,-802.283958084739,-13.0,1746,0,0.0
UAV,25,1,8,8,-802.371560886383,3.0,0,0,0.0
UAV,25,1,9,9,-802.3962920867942,5.0,0,0,0.0
UAV,21,1,0,0,-802.43775544936,10.0,0,0,0.0
UAV,21,1,1,1,-802.437733400258,10.0,0,0,0.0
UAV,21,1,2,2,-802.2533498048751,-25.0,1871,0,0.0
UAV,21,1,3,3,-802.2533498048751,-25.0,1871,0,0.0
UAV,21,1,4,4,-802.3996274891621,5.0,1000,0,0.0
UAV,21,1,5,5,-802.3531176160391,-3.0,0,0,0.0
UAV,21,1,6,6,-802.3375878721549,-7.0,2013,0,0.0
UAV,21,1,7,7,-802.3687617830616,2.0,0,0,0.0
UAV,21,1,8,8,-802.3219218078137,-9.0,1427,0,0.0
UAV,21,1,9,9,-802.2913911496413,-13.0,214,0,0.0
UAV,34,1,0,0,-802.4384238673346,10.0,0,0,0.0
UAV,34,1,1,1,-802.2249036274219,-28.0,2105,0,0.0
UAV,34,1,2,2,-802.4001299621165,5.0,1000,0,0.0
UAV,34,1,3,3,-802.236147551567,-21.0,1634,0,0.0
UAV,34,1,4,4,-802.361127000172,0.0,1000,0,0.0
UAV,34,1,5,5,-802.2946901542446,-13.0,3019,0,0.0
UAV,34,1,6,6,-802.3073779117811,-7.0,1829,0,0.0
UAV,34,1,7,7,-802.3446421242224,-3.0,1829,0,0.0
UAV,34,1,8,8,-802.2550663701736,-17.0,1880,0,0.0
UAV,34,1,9,9,-802.262188701327,-16.0,2109,0,0.0
UAV,8,1,0,0,-802.4411436173506,10.0,1000,0,0.0
UAV,8,1,1,1,-802.2155146851753,-34.0,1880,0,0.0
UAV,8,1,2,2,-802.2219665984168,-25.0,1861,0,0.0
UAV,8,1,3,3,-802.3992619926819,5.0,1000,0,0.0
UAV,8,1,4,4,-802.2412876793165,-21.0,1935,0,0.0
UAV,8,1,5,5,-802.3554745185924,0.0,1000,0,0.0
UAV,8,1,6,6,-802.3420267818341,-4.0,2109,0,0.0
