TestID,Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
1,OPAM,CCS,1,0.025608,0.025608,0.605641,0.748992,0.008475,0.111111,0.183878,0.672414,0.111111
1,OPAM,CCS,2,0.017794,0.017254,0.650103,1.099319,0.004274,0.111111,0.142283,0.163793,0.111111
1,OPAM,CCS,3,0.031064,0.030273,0.576947,0.738679,0.008475,0.222222,0.071048,0.672414,0.222222
1,OPAM,CCS,4,0.021673,0.020782,0.617989,0.703284,0.015000,0.222222,0.191269,0.431034,0.222222
1,OPAM,CCS,5,0.023488,0.023488,0.622327,0.655060,0.019802,0.333333,0.135929,0.836207,0.333333
1,OPAM,CCS,6,0.028625,0.028087,0.591326,0.719183,0.004274,0.000000,0.185427,0.267241,0.000000
1,OPAM,CCS,7,0.022830,0.022412,0.652803,0.998483,0.008929,0.222222,0.122457,0.318966,0.222222
1,OPAM,CCS,8,0.017963,0.017866,0.658964,0.936890,0.027397,0.333333,0.075346,0.836207,0.333333
1,OPAM,CCS,9,0.039444,0.039068,0.537918,1.005164,0.012605,0.111111,0.231097,0.405172,0.111111
1,OPAM,CCS,10,0.028048,0.026797,0.626963,0.455660,0.004274,0.111111,0.110907,0.267241,0.111111
1,OPAM,CCS,11,0.034159,0.033556,0.568984,0.903243,0.000000,0.000000,0.078119,0.000000,0.000000
1,OPAM,CCS,12,0.018608,0.018342,0.675614,0.787124,0.016667,0.222222,0.102802,0.887931,0.222222
1,OPAM,CCS,13,0.028486,0.028486,0.618563,0.862171,0.011494,0.111111,0.084985,0.284483,0.111111
1,OPAM,CCS,14,0.033101,0.033101,0.547475,0.718794,0.000000,0.000000,0.021535,0.000000,0.000000
1,OPAM,CCS,15,0.023028,0.023028,0.543069,0.926131,0.004274,0.111111,0.045878,0.163793,0.111111
1,OPAM,CCS,16,0.026911,0.026664,0.563455,0.971239,0.019802,0.222222,0.180569,0.431034,0.222222
1,OPAM,CCS,17,0.022199,0.022199,0.662019,0.652795,0.004274,0.000000,0.077556,0.008621,0.000000
1,OPAM,CCS,18,0.017841,0.017345,0.653653,0.916381,0.008475,0.000000,0.116279,0.181034,0.000000
1,OPAM,CCS,19,0.024196,0.023802,0.539731,0.967148,0.004274,0.111111,0.042678,0.267241,0.111111
1,OPAM,CCS,20,0.017812,0.017105,0.651686,0.665688,0.020833,0.111111,0.088467,0.405172,0.111111
1,OPAM,CCS,21,0.024585,0.024467,0.623842,0.596849,0.008475,0.000000,0.052306,0.051724,0.000000
1,OPAM,CCS,22,0.021896,0.021430,0.661389,0.402405,0.008475,0.222222,0.039550,0.672414,0.222222
1,OPAM,CCS,23,0.022934,0.022934,0.531444,0.730935,0.148148,0.333333,0.041809,0.836207,0.333333
1,OPAM,CCS,24,0.036439,0.036179,0.615798,0.923771,0.000000,0.000000,0.067104,0.000000,0.000000
1,OPAM,CCS,25,0.023655,0.023627,0.548053,0.688472,0.004274,0.111111,0.047500,0.267241,0.111111
1,OPAM,CCS,26,0.024949,0.024458,0.639501,0.682017,0.000000,0.000000,0.099217,0.000000,0.000000
1,OPAM,CCS,27,0.011083,0.009222,0.574428,0.572541,0.004274,0.000000,0.024633,0.163793,0.000000
1,OPAM,CCS,28,0.040092,0.039622,0.570799,0.621616,0.004274,0.111111,0.075436,0.017241,0.111111
1,OPAM,CCS,29,0.035767,0.035767,0.569925,0.751476,0.007143,0.111111,0.255903,0.405172,0.111111
1,OPAM,CCS,30,0.018776,0.018621,0.641818,0.776605,0.004274,0.111111,0.069301,0.267241,0.111111
1,OPAM,CCS,31,0.017791,0.017791,0.650365,0.458920,0.012605,0.222222,0.046129,0.836207,0.222222
1,OPAM,CCS,32,0.029334,0.029212,0.559989,0.557369,0.000000,0.000000,0.182186,0.000000,0.000000
1,OPAM,CCS,33,0.028054,0.026579,0.649511,0.875582,0.012605,0.000000,0.121433,0.456897,0.000000
1,OPAM,CCS,34,0.018547,0.018031,0.656061,0.685700,0.013274,0.222222,0.101394,0.318966,0.222222
1,OPAM,CCS,35,0.020746,0.019645,0.540180,0.884720,0.000000,0.000000,0.057380,0.000000,0.000000
1,OPAM,CCS,36,0.020423,0.020180,0.574757,0.711716,0.004274,0.111111,0.065293,0.267241,0.111111
1,OPAM,CCS,37,0.024490,0.023980,0.556080,0.692651,0.004274,0.111111,0.055211,0.267241,0.111111
1,OPAM,CCS,38,0.021876,0.021439,0.631535,0.939430,0.004274,0.111111,0.071251,0.267241,0.111111
1,OPAM,CCS,39,0.019009,0.019009,0.624472,0.867776,0.010101,0.111111,0.239230,0.163793,0.111111
1,OPAM,CCS,40,0.036370,0.035471,0.562276,1.390807,0.004274,0.000000,0.210635,0.267241,0.000000
1,OPAM,CCS,41,0.031052,0.031019,0.642451,0.481745,0.004274,0.000000,0.101257,0.405172,0.000000
1,OPAM,CCS,42,0.019359,0.019359,0.653374,0.818801,0.012346,0.222222,0.084823,0.318966,0.222222
1,OPAM,CCS,43,0.013210,0.012443,0.651286,0.870215,0.011494,0.222222,0.056165,0.431034,0.222222
1,OPAM,CCS,44,0.048362,0.047572,0.554876,0.699320,0.004274,0.111111,0.231236,0.267241,0.111111
1,OPAM,CCS,45,0.032570,0.032276,0.548627,0.692937,0.000000,0.000000,0.068390,0.000000,0.000000
1,OPAM,CCS,46,0.018347,0.018077,0.663418,0.581256,0.008929,0.222222,0.143710,0.318966,0.222222
1,OPAM,CCS,47,0.020503,0.020503,0.519933,0.758963,0.012605,0.111111,0.019889,0.431034,0.111111
1,OPAM,CCS,48,0.009819,0.009819,0.649081,0.986603,0.017544,0.222222,0.001606,0.482759,0.222222
1,OPAM,CCS,49,0.029387,0.028951,0.649136,0.642922,0.004274,0.000000,0.081317,0.017241,0.000000
1,OPAM,CCS,50,0.018368,0.018368,0.582165,0.487246,0.012821,0.111111,0.049659,0.422414,0.111111
1,SEQ,CCS,1,0.079378,0.079375,0.437221,0.315318,0.000000,0.000000,0.086722,0.000000,0.000000
1,SEQ,CCS,2,0.091552,0.091552,0.406590,0.698384,0.004274,0.000000,0.083075,0.405172,0.000000
