TestID,Approach,Subject,Run,GD,GDP,HV,GS,CI,UNFR,SP,CS,CSunique
1,OPAM,CCS,1,0.094559,0.094559,0.878677,1.025562,0.025316,0.500000,0.080562,1.000000,0.500000
1,OPAM,CCS,2,0.071138,0.071138,0.878677,0.953647,0.025316,0.500000,0.076563,1.000000,0.500000
1,OPAM,CCS,3,0.083858,0.083858,0.878677,1.035666,0.019231,0.500000,0.054420,1.000000,0.500000
1,OPAM,CCS,4,0.081804,0.081804,0.878677,0.900691,0.025316,0.500000,0.085618,1.000000,0.500000
1,OPAM,CCS,5,0.088998,0.088998,0.878677,1.035666,0.025316,0.500000,0.052053,1.000000,0.500000
1,OPAM,CCS,6,0.102023,0.102023,0.878677,0.925769,0.025316,0.500000,0.087258,1.000000,0.500000
1,OPAM,CCS,7,0.082380,0.082380,0.878677,0.975936,0.025316,0.500000,0.041247,1.000000,0.500000
1,OPAM,CCS,8,0.105877,0.105877,0.878677,1.115325,0.025316,0.500000,0.057248,1.000000,0.500000
1,OPAM,CCS,9,0.104541,0.104541,0.878677,0.589877,0.031250,0.500000,0.157211,1.000000,0.500000
1,OPAM,CCS,10,0.109820,0.109820,0.848347,0.303704,0.001792,0.500000,0.068592,0.730216,0.500000
1,OPAM,CCS,11,0.084420,0.084420,0.848347,0.552000,0.001792,0.500000,0.067356,0.730216,0.500000
1,OPAM,CCS,12,0.110028,0.110028,0.878677,0.848078,0.025316,0.500000,0.093983,1.000000,0.500000
1,OPAM,CCS,13,0.110993,0.110993,0.878677,0.780579,0.025316,0.500000,0.072878,1.000000,0.500000
1,OPAM,CCS,14,0.099526,0.099526,0.878677,1.067518,0.025316,0.500000,0.022452,1.000000,0.500000
1,OPAM,CCS,15,0.069701,0.069701,0.878677,1.100817,0.025316,0.500000,0.030744,1.000000,0.500000
1,OPAM,CCS,16,0.067075,0.067075,0.878677,0.786164,0.019231,0.500000,0.271894,1.000000,0.500000
1,OPAM,CCS,17,0.113461,0.113461,0.878677,1.062238,0.019231,0.500000,0.055959,1.000000,0.500000
1,OPAM,CCS,18,0.069252,0.069252,0.878677,1.030928,0.025316,0.500000,0.062353,1.000000,0.500000
1,OPAM,CCS,19,0.060245,0.060245,0.878677,1.172162,0.025316,0.500000,0.030744,1.000000,0.500000
1,OPAM,CCS,20,0.090754,0.090754,0.878677,0.930216,0.031250,0.500000,0.080138,1.000000,0.500000
1,OPAM,CCS,21,0.104167,0.104167,0.878677,0.895113,0.025316,0.500000,0.036664,1.000000,0.500000
1,OPAM,CCS,22,0.094629,0.094629,0.878677,1.098674,0.019231,0.500000,0.042279,1.000000,0.500000
1,OPAM,CCS,23,0.072546,0.072546,0.878677,0.885949,0.037037,0.500000,0.021002,1.000000,0.500000
1,OPAM,CCS,24,0.134180,0.134180,0.878677,0.766227,0.025316,0.500000,0.083128,1.000000,0.500000
1,OPAM,CCS,25,0.073528,0.073528,0.878677,1.035666,0.025316,0.500000,0.029346,1.000000,0.500000
1,OPAM,CCS,26,0.107328,0.107328,0.848347,0.354167,0.003571,0.500000,0.067506,0.730216,0.500000
1,OPAM,CCS,27,0.074676,0.074676,0.878677,1.210440,0.025316,0.500000,0.018332,1.000000,0.500000
1,OPAM,CCS,28,0.116259,0.116259,0.818016,0.562500,0.003571,0.500000,0.050204,0.730216,0.500000
