Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,44,1,0,0,-814.8056672233753,10.0,2500,0,0.0
UAV,44,1,1,1,-814.6308371650008,-41.0,1502,0,0.0
UAV,44,1,2,2,-814.8056672233753,10.0,2500,0,0.0
UAV,44,1,3,3,-814.7454819159283,-11.0,90,0,0.0
UAV,44,1,4,4,-814.8017014018349,3.0,291,0,0.0
UAV,44,1,5,5,-814.7089847405495,-14.0,2548,0,0.0
UAV,44,1,6,6,-814.7282036459867,-23.0,17,0,0.0
UAV,44,1,7,7,-814.6486836603654,-32.0,1502,0,0.0
UAV,44,1,8,8,-814.7384891031177,-3.0,58,0,0.0
UAV,44,1,9,9,-814.7384891031177,-3.0,58,0,0.0
UAV,50,1,0,0,-814.8190716265808,10.0,0,0,0.0
UAV,50,1,1,1,-814.6308371650008,-41.0,1502,0,0.0
UAV,50,1,2,2,-814.8190716265808,10.0,0,0,0.0
UAV,50,1,3,3,-814.8067185083863,4.0,0,0,0.0
UAV,50,1,4,4,-814.7607873652282,-4.0,0,0,0.0
UAV,50,1,5,5,-814.7290678845894,-9.0,63,0,0.0
UAV,50,1,6,6,-814.709213178987,-15.0,304,0,0.0
UAV,50,1,7,7,-814.7061510609069,-28.0,309,0,0.0
UAV,50,1,8,8,-814.6729595720408,-35.0,82,0,0.0
UAV,50,1,9,9,-814.6937353859104,-20.0,249,0,0.0
UAV,10,1,0,0,-814.8056672233753,10.0,2500,0,0.0
UAV,10,1,1,1,-814.6470938226166,-34.0,1476,0,0.0
UAV,10,1,2,2,-814.8056672233753,10.0,2500,0,0.0
UAV,10,1,3,3,-814.6470938226166,-34.0,1476,0,0.0
UAV,10,1,4,4,-814.7637638912631,-1.0,2599,0,0.0
UAV,10,1,5,5,-814.74738512659,-8.0,2747,0,0.0
UAV,10,1,6,6,-814.7047391392878,-22.0,68,0,0.0
UAV,10,1,7,7,-814.7088604498766,-27.0,28,0,0.0
UAV,10,1,8,8,-814.7432184334104,-14.0,1252,0,0.0
UAV,10,1,9,9,-814.708158985922,-15.0,2602,0,0.0
UAV,22,1,0,0,-814.8188085751593,10.0,0,0,0.0
UAV,22,1,1,1,-814.8188085751593,10.0,0,0,0.0
UAV,22,1,2,2,-814.6308372469315,-41.0,1502,0,0.0
UAV,22,1,3,3,-814.7229019519053,-19.0,2675,0,0.0
UAV,22,1,4,4,-814.6504460657183,-30.0,1476,0,0.0
UAV,22,1,5,5,-814.853005164447,3.0,0,0,0.0
UAV,22,1,6,6,-814.7483611269604,-10.0,2624,0,0.0
UAV,22,1,7,7,-814.6938041128025,-24.0,1584,0,0.0
UAV,22,1,8,8,-814.7728347186874,-4.0,2592,0,0.0
UAV,22,1,9,9,-814.7398924693103,-7.0,2632,0,0.0
UAV,31,1,0,0,-814.8054655886511,10.0,2500,0,0.0
UAV,31,1,1,1,-814.6308372469315,-41.0,1502,0,0.0
UAV,31,1,2,2,-814.6308372469315,-41.0,1502,0,0.0
