Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,44,1,0,0,-789.2480105952766,10.0,50,0,0.0
UAV,44,1,1,1,-789.1498039015407,-41.0,24,0,0.0
UAV,44,1,2,2,-789.2480105952766,10.0,50,0,0.0
UAV,44,1,3,3,-789.2134382273938,-11.0,0,0,0.0
UAV,44,1,4,4,-789.25086848264,3.0,6,0,0.0
UAV,44,1,5,5,-789.1877847096981,-14.0,51,0,0.0
UAV,44,1,6,6,-789.2136363852695,-23.0,0,0,0.0
UAV,44,1,7,7,-789.1603519421074,-32.0,25,0,0.0
UAV,44,1,8,8,-789.192373664421,-3.0,1,0,0.0
UAV,44,1,9,9,-789.192373664421,-3.0,1,0,0.0
UAV,50,1,0,0,-789.254637758539,10.0,0,0,0.0
UAV,50,1,1,1,-789.1498039015407,-41.0,24,0,0.0
UAV,50,1,2,2,-789.254637758539,10.0,0,0,0.0
UAV,50,1,3,3,-789.2498087115279,4.0,0,0,0.0
UAV,50,1,4,4,-789.2150405890458,-4.0,0,0,0.0
UAV,50,1,5,5,-789.1980023280571,-9.0,0,0,0.0
UAV,50,1,6,6,-789.18785748035,-15.0,6,0,0.0
UAV,50,1,7,7,-789.2084923568144,-28.0,7,0,0.0
UAV,50,1,8,8,-789.1871259115368,-35.0,2,0,0.0
UAV,50,1,9,9,-789.1763711417384,-20.0,2,0,0.0
UAV,10,1,0,0,-789.2480105952766,10.0,50,0,0.0
UAV,10,1,1,1,-789.1525477822227,-34.0,24,0,0.0
UAV,10,1,2,2,-789.2480105952766,10.0,50,0,0.0
UAV,10,1,3,3,-789.1525477822227,-34.0,24,0,0.0
UAV,10,1,4,4,-789.2112386835909,-1.0,52,0,0.0
UAV,10,1,5,5,-789.1935450055263,-8.0,53,0,0.0
UAV,10,1,6,6,-789.1970390941816,-22.0,1,0,0.0
UAV,10,1,7,7,-789.2105781233907,-27.0,0,0,0.0
UAV,10,1,8,8,-789.2085331016634,-14.0,24,0,0.0
UAV,10,1,9,9,-789.1877888062246,-15.0,51,0,0.0
UAV,22,1,0,0,-789.2546046129256,10.0,0,0,0.0
UAV,22,1,1,1,-789.2546046129256,10.0,0,0,0.0
UAV,22,1,2,2,-789.1498039015407,-41.0,24,0,0.0
UAV,22,1,3,3,-789.204407287144,-19.0,51,0,0.0
UAV,22,1,4,4,-789.1527882043938,-30.0,24,0,0.0
UAV,22,1,5,5,-789.3030130249138,3.0,0,0,0.0
UAV,22,1,6,6,-789.2084976109107,-10.0,51,0,0.0
UAV,22,1,7,7,-789.1858572809077,-24.0,27,0,0.0
UAV,22,1,8,8,-789.242353021767,-4.0,50,0,0.0
UAV,22,1,9,9,-789.1995768783595,-7.0,51,0,0.0
UAV,31,1,0,0,-789.2480024309154,10.0,50,0,0.0
UAV,31,1,1,1,-789.1498039015407,-41.0,24,0,0.0
UAV,31,1,2,2,-789.1498039015407,-41.0,24,0,0.0
UAV,31,1,3,3,-789.2480024309154,10.0,50,0,0.0
UAV,31,1,4,4,-789.2051027639559,-21.0,52,0,0.0
UAV,31,1,5,5,-789.1773521808863,-32.0,4,0,0.0
UAV,31,1,6,6,-789.2274439991892,-12.0,0,0,0.0
UAV,31,1,7,7,-789.2476345188409,2.0,0,0,0.0
UAV,31,1,8,8,-789.3043060615028,4.0,0,0,0.0
UAV,31,1,9,9,-789.2791009227197,-10.0,0,0,0.0
UAV,15,1,0,0,-789.2480105952766,10.0,50,0,0.0
UAV,15,1,1,1,-789.1524478391597,-46.0,24,0,0.0
UAV,15,1,2,2,-789.2480105952766,10.0,50,0,0.0
UAV,15,1,3,3,-789.162613363364,-28.0,24,0,0.0
UAV,15,1,4,4,-789.2791562597041,2.0,0,0,0.0
UAV,15,1,5,5,-789.1848078106667,-24.0,27,0,0.0
UAV,15,1,6,6,-789.200973861428,-7.0,0,0,0.0
UAV,15,1,7,7,-789.2982487220235,-19.0,59,0,0.0
UAV,15,1,8,8,-789.2933621427903,-4.0,0,0,0.0
UAV,15,1,9,9,-789.2003732886031,-16.0,0,0,0.0
UAV,41,1,0,0,-789.2480105952766,10.0,50,0,0.0
UAV,41,1,1,1,-789.1498204594022,-40.0,24,0,0.0
UAV,41,1,2,2,-789.2603374430026,2.0,70,0,0.0
UAV,41,1,3,3,-789.1765198055226,-22.0,3,0,0.0
UAV,41,1,4,4,-789.1777129122003,-13.0,1,0,0.0
UAV,41,1,5,5,-789.1539958351312,-30.0,24,0,0.0
UAV,41,1,6,6,-789.165423226854,-26.0,23,0,0.0
UAV,41,1,7,7,-789.2374477858275,-8.0,0,0,0.0
UAV,41,1,8,8,-789.1759356160138,-11.0,6,0,0.0
UAV,41,1,9,9,-789.2383073444109,-3.0,0,0,0.0
UAV,48,1,0,0,-789.2480105952766,10.0,50,0,0.0
UAV,48,1,1,1,-789.1498039015407,-41.0,24,0,0.0
UAV,48,1,2,2,-789.2480105952766,10.0,50,0,0.0
UAV,48,1,3,3,-789.1774322036464,-24.0,23,0,0.0
UAV,48,1,4,4,-789.1715072947314,-34.0,1,0,0.0
UAV,48,1,5,5,-789.2196970002886,-2.0,0,0,0.0
UAV,48,1,6,6,-789.254003278608,4.0,0,0,0.0
UAV,48,1,7,7,-789.1902050724765,-18.0,2,0,0.0
UAV,48,1,8,8,-789.201710527728,-9.0,0,0,0.0
UAV,48,1,9,9,-789.1989640792308,-12.0,0,0,0.0
UAV,12,1,0,0,-789.1498039015408,-46.0,24,0,0.0
UAV,12,1,1,1,-789.2480105952766,10.0,50,0,0.0
UAV,12,1,2,2,-789.1525477822227,-32.0,24,0,0.0
UAV,12,1,3,3,-789.2000771754642,2.0,0,0,0.0
UAV,12,1,4,4,-789.2432106071744,-6.0,0,0,0.0
UAV,12,1,5,5,-789.2267712366622,-13.0,0,0,0.0
UAV,12,1,6,6,-789.2022725039765,-2.0,20,0,0.0
UAV,12,1,7,7,-789.1639411608801,-22.0,23,0,0.0
UAV,12,1,8,8,-789.1589732190131,-26.0,22,0,0.0
UAV,12,1,9,9,-789.1854217676656,-15.0,51,0,0.0
UAV,6,1,0,0,-789.2480105952766,10.0,50,0,0.0
UAV,6,1,1,1,-789.1497616299902,-43.0,24,0,0.0
UAV,6,1,2,2,-789.1497616299902,-43.0,24,0,0.0
UAV,6,1,3,3,-789.2480105952766,10.0,50,0,0.0
UAV,6,1,4,4,-789.213092386729,-19.0,51,0,0.0
UAV,6,1,5,5,-789.1584579194846,-30.0,22,0,0.0
UAV,6,1,6,6,-789.2291248031622,-5.0,20,0,0.0
UAV,6,1,7,7,-789.2059823793622,-12.0,1,0,0.0
UAV,6,1,8,8,-789.1920639376035,3.0,6,0,0.0
UAV,6,1,9,9,-789.2258196629793,-10.0,73,0,0.0
UAV,49,1,0,0,-789.2480105952766,10.0,50,0,0.0
UAV,49,1,1,1,-789.1498039015407,-41.0,24,0,0.0
UAV,49,1,2,2,-789.2480105952766,10.0,50,0,0.0
UAV,49,1,3,3,-789.1977047170901,-34.0,24,0,0.0
UAV,49,1,4,4,-789.19613385183,-17.0,51,0,0.0
UAV,49,1,5,5,-789.1684954038769,-24.0,3,0,0.0
UAV,49,1,6,6,-789.2031106287842,4.0,0,0,0.0
UAV,49,1,7,7,-789.2017381995465,-1.0,0,0,0.0
UAV,49,1,8,8,-789.2223299967633,-14.0,0,0,0.0
UAV,49,1,9,9,-789.2259281948736,-9.0,73,0,0.0
UAV,27,1,0,0,-789.2480105952766,10.0,50,0,0.0
UAV,27,1,1,1,-789.1498039015408,-43.0,24,0,0.0
UAV,27,1,2,2,-789.1498039015408,-43.0,24,0,0.0
UAV,27,1,3,3,-789.2480105952766,10.0,50,0,0.0
UAV,27,1,4,4,-789.1664671868248,-25.0,23,0,0.0
UAV,27,1,5,5,-789.2008704194164,-6.0,0,0,0.0
UAV,27,1,6,6,-789.1806821284933,-22.0,25,0,0.0
UAV,27,1,7,7,-789.2064448200792,-14.0,22,0,0.0
UAV,27,1,8,8,-789.1745994843999,-7.0,26,0,0.0
UAV,27,1,9,9,-789.2250034641719,4.0,0,0,0.0
UAV,47,1,0,0,-789.2480105952766,10.0,50,0,0.0
UAV,47,1,1,1,-789.2480105952766,10.0,50,0,0.0
UAV,47,1,2,2,-789.1498039015408,-45.0,24,0,0.0
UAV,47,1,3,3,-789.2434539771859,-15.0,55,0,0.0
UAV,47,1,4,4,-789.1795263262522,-19.0,7,0,0.0
UAV,47,1,5,5,-789.2284277525425,-9.0,0,0,0.0
UAV,47,1,6,6,-789.2365245591552,0.0,50,0,0.0
UAV,47,1,7,7,-789.1789032588482,-36.0,2,0,0.0
UAV,47,1,8,8,-789.2333236287427,-5.0,50,0,0.0
UAV,47,1,9,9,-789.1500152592943,-44.0,24,0,0.0
