Variable,Run,TestID,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdDistance
UAV,44,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,44,1,1,1,-802.1860948699025,-41.0,2123,0,0.0
UAV,44,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,44,1,3,3,-802.3277490158983,-11.0,256,0,0.0
UAV,44,1,4,4,-802.3949230154454,3.0,881,0,0.0
UAV,44,1,5,5,-802.2804463864651,-14.0,2830,0,0.0
UAV,44,1,6,6,-802.2828651569304,-23.0,42,0,0.0
UAV,44,1,7,7,-802.2015891957923,-32.0,2120,0,0.0
UAV,44,1,8,8,-802.3524645901452,-3.0,109,0,0.0
UAV,44,1,9,9,-802.3524645901452,-3.0,109,0,0.0
UAV,50,1,0,0,-802.4401081032385,10.0,0,0,0.0
UAV,50,1,1,1,-802.1860948699025,-41.0,2123,0,0.0
UAV,50,1,2,2,-802.4401081032385,10.0,0,0,0.0
UAV,50,1,3,3,-802.4092299684493,4.0,0,0,0.0
UAV,50,1,4,4,-802.3609556060463,-4.0,0,0,0.0
UAV,50,1,5,5,-802.3251697310462,-9.0,103,0,0.0
UAV,50,1,6,6,-802.285677636994,-15.0,974,0,0.0
UAV,50,1,7,7,-802.2608813314519,-28.0,990,0,0.0
UAV,50,1,8,8,-802.2345055583759,-35.0,458,0,0.0
UAV,50,1,9,9,-802.2557793233347,-20.0,829,0,0.0
UAV,10,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,10,1,1,1,-802.1943180617599,-34.0,2111,0,0.0
UAV,10,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,10,1,3,3,-802.1943180617599,-34.0,2111,0,0.0
UAV,10,1,4,4,-802.3614208199452,-1.0,2847,0,0.0
UAV,10,1,5,5,-802.3318281069556,-8.0,3177,0,0.0
UAV,10,1,6,6,-802.2609568581155,-22.0,385,0,0.0
UAV,10,1,7,7,-802.2593274212385,-27.0,156,0,0.0
UAV,10,1,8,8,-802.3250830579657,-14.0,1823,0,0.0
UAV,10,1,9,9,-802.2783032040043,-15.0,2889,0,0.0
UAV,22,1,0,0,-802.4398641835948,10.0,0,0,0.0
UAV,22,1,1,1,-802.4398641835948,10.0,0,0,0.0
UAV,22,1,2,2,-802.1860926532191,-41.0,2123,0,0.0
UAV,22,1,3,3,-802.2865053840051,-19.0,3064,0,0.0
UAV,22,1,4,4,-802.1971211185663,-30.0,2111,0,0.0
UAV,22,1,5,5,-802.4557850910047,3.0,0,0,0.0
UAV,22,1,6,6,-802.3308883952301,-10.0,2903,0,0.0
UAV,22,1,7,7,-802.2494936228273,-24.0,2381,0,0.0
UAV,22,1,8,8,-802.3892225647398,-4.0,2782,0,0.0
UAV,22,1,9,9,-802.3311421220686,-7.0,2989,0,0.0
UAV,31,1,0,0,-802.431424895111,10.0,2500,0,0.0
UAV,31,1,1,1,-802.1860926532191,-41.0,2123,0,0.0
UAV,31,1,2,2,-802.1860926532191,-41.0,2123,0,0.0
UAV,31,1,3,3,-802.431424895111,10.0,2500,0,0.0
UAV,31,1,4,4,-802.2731181465751,-21.0,3181,0,0.0
UAV,31,1,5,5,-802.2381719382322,-32.0,993,0,0.0
UAV,31,1,6,6,-802.3284401053513,-12.0,1,0,0.0
UAV,31,1,7,7,-802.3925039136634,2.0,0,0,0.0
UAV,31,1,8,8,-802.4683433698672,4.0,0,0,0.0
UAV,31,1,9,9,-802.4099257163359,-10.0,0,0,0.0
UAV,15,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,15,1,1,1,-802.1896800276852,-46.0,2123,0,0.0
UAV,15,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,15,1,3,3,-802.2116535472699,-28.0,1877,0,0.0
UAV,15,1,4,4,-802.4274084287829,2.0,0,0,0.0
UAV,15,1,5,5,-802.2489086019208,-24.0,2154,0,0.0
UAV,15,1,6,6,-802.3395904931623,-7.0,0,0,0.0
UAV,15,1,7,7,-802.3601142168242,-19.0,3640,0,0.0
UAV,15,1,8,8,-802.4212437177665,-4.0,0,0,0.0
UAV,15,1,9,9,-802.3020655842508,-16.0,0,0,0.0
UAV,41,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,41,1,1,1,-802.186265997107,-40.0,2123,0,0.0
UAV,41,1,2,2,-802.3885611139374,2.0,3500,0,0.0
UAV,41,1,3,3,-802.2488494560431,-22.0,1202,0,0.0
UAV,41,1,4,4,-802.2923647947257,-13.0,206,0,0.0
UAV,41,1,5,5,-802.2003267806823,-30.0,2002,0,0.0
UAV,41,1,6,6,-802.225252331579,-26.0,1924,0,0.0
UAV,41,1,7,7,-802.37551015521,-8.0,0,0,0.0
UAV,41,1,8,8,-802.2966998640493,-11.0,902,0,0.0
UAV,41,1,9,9,-802.376335724859,-3.0,0,0,0.0
UAV,48,1,0,0,-802.4316154132965,10.0,2500,0,0.0
UAV,48,1,1,1,-802.1860948699025,-41.0,2123,0,0.0
UAV,48,1,2,2,-802.4316154132965,10.0,2500,0,0.0
UAV,48,1,3,3,-802.2376986374268,-24.0,1878,0,0.0
UAV,48,1,4,4,-802.2240359337435,-34.0,794,0,0.0
UAV,48,1,5,5,-802.3662428761563,-2.0,0,0,0.0
UAV,48,1,6,6,-802.4157051930583,4.0,0,0,0.0
UAV,48,1,7,7,-802.2706184003746,-18.0,1083,0,0.0
UAV,48,1,8,8,-802.3305464090787,-9.0,0,0,0.0
UAV,48,1,9,9,-802.314186457556,-12.0,0,0,0.0
UAV,12,1,0,0,-802.1858522278294,-46.0,2123,0,0.0
UAV,12,1,1,1,-802.4316154132965,10.0,2500,0,0.0
