Variable,Index,Run,Total,Search,P1,P2,Ex,InitHeap,UsedHeap,CommitHeap,MaxHeap,MaxNonHeap
UAV,0,44, 1428.483000,1064.841000,89.896000,122.675000,151.071000, 4096.000000,347.900000,4096.000000,8192.000000,18.100000
UAV,0,50, 1432.673000,1063.381000,89.427000,127.418000,152.447000, 4096.000000,297.800000,4096.000000,8192.000000,17.900000
UAV,0,10, 1415.871000,1047.506000,92.080000,128.550000,147.735000, 4096.000000,300.500000,4096.000000,8192.000000,18.300000
UAV,0,22, 1432.291000,1081.499000,92.803000,126.214000,131.775000, 4096.000000,298.400000,4096.000000,8192.000000,18.100000
UAV,0,31, 1402.307000,1036.896000,96.166000,133.918000,135.327000, 4096.000000,302.500000,4096.000000,8192.000000,17.900000
UAV,0,15, 1481.680000,1105.475000,96.137000,129.336000,150.732000, 4096.000000,306.500000,4096.000000,8192.000000,18.100000
UAV,0,41, 1457.104000,1077.581000,95.336000,130.786000,153.401000, 4096.000000,304.900000,4096.000000,8192.000000,18.200000
UAV,0,48, 1426.974000,1059.363000,90.312000,124.467000,152.832000, 4096.000000,304.100000,4096.000000,8192.000000,18.100000
UAV,0,12, 1418.845000,1061.855000,91.484000,121.582000,143.924000, 4096.000000,316.400000,4096.000000,8192.000000,18.100000
UAV,0,6, 1483.448000,1100.905000,97.058000,128.712000,156.773000, 4096.000000,302.700000,4096.000000,8192.000000,18.200000
UAV,0,49, 1473.812000,1080.896000,98.830000,134.805000,159.281000, 4096.000000,301.600000,4096.000000,8192.000000,18.200000
UAV,0,27, 1512.084000,1109.981000,102.253000,130.018000,169.832000, 4096.000000,319.300000,4096.000000,8192.000000,18.000000
UAV,0,47, 1458.383000,1093.200000,92.279000,124.943000,147.961000, 4096.000000,328.200000,4096.000000,8192.000000,18.000000
UAV,0,45, 1461.562000,1089.649000,94.171000,126.682000,151.060000, 4096.000000,346.500000,4096.000000,8192.000000,18.000000
UAV,0,28, 1425.375000,1081.719000,94.589000,124.104000,124.963000, 4096.000000,323.300000,4096.000000,8192.000000,17.800000
UAV,0,7, 1495.294000,1100.458000,102.437000,137.515000,154.884000, 4096.000000,299.000000,4096.000000,8192.000000,18.000000
UAV,0,36, 1481.774000,1106.387000,93.321000,128.481000,153.585000, 4096.000000,304.100000,4096.000000,8192.000000,18.200000
UAV,0,46, 1443.949000,1061.052000,88.314000,127.396000,167.187000, 4096.000000,301.300000,4096.000000,8192.000000,18.000000
UAV,0,33, 1439.759000,1071.075000,92.787000,127.506000,148.391000, 4096.000000,303.800000,4096.000000,8192.000000,17.900000
UAV,0,4, 1441.933000,1082.006000,95.182000,129.003000,135.742000, 4096.000000,299.600000,4096.000000,8192.000000,17.900000
UAV,0,24, 1443.635000,1089.836000,94.547000,128.997000,130.255000, 4096.000000,319.600000,4096.000000,8192.000000,18.000000
UAV,0,11, 1423.126000,1060.458000,94.203000,126.975000,141.490000, 4096.000000,321.800000,4096.000000,8192.000000,18.100000
UAV,0,30, 1364.048000,1036.116000,88.729000,123.527000,115.676000, 4096.000000,300.600000,4096.000000,8192.000000,18.100000
UAV,0,19, 1508.460000,1116.447000,94.914000,125.693000,171.406000, 4096.000000,305.300000,4096.000000,8192.000000,18.100000
UAV,0,40, 1481.821000,1117.406000,95.468000,119.077000,149.870000, 4096.000000,334.700000,4096.000000,8192.000000,18.300000
UAV,0,43, 1481.232000,1070.248000,98.767000,140.455000,171.762000, 4096.000000,302.800000,4096.000000,8192.000000,18.100000
UAV,0,23, 1480.966000,1099.082000,98.127000,126.653000,157.104000, 4096.000000,322.900000,4096.000000,8192.000000,18.100000
UAV,0,25, 1395.413000,1045.327000,91.809000,125.490000,132.787000, 4096.000000,299.400000,4096.000000,8192.000000,18.200000
UAV,0,21, 1486.146000,1095.805000,99.764000,129.154000,161.423000, 4096.000000,336.600000,4096.000000,8192.000000,18.000000
UAV,0,34, 1452.120000,1094.562000,92.880000,126.208000,138.470000, 4096.000000,298.000000,4096.000000,8192.000000,18.000000
UAV,0,8, 1405.632000,1044.728000,91.670000,126.984000,142.250000, 4096.000000,308.100000,4096.000000,8192.000000,18.000000
UAV,0,29, 1433.642000,1048.350000,91.138000,125.451000,168.703000, 4096.000000,299.500000,4096.000000,8192.000000,18.000000
UAV,0,20, 1498.547000,1114.412000,95.734000,128.868000,159.533000, 4096.000000,321.800000,4096.000000,8192.000000,18.300000
UAV,0,3, 1465.731000,1088.639000,98.023000,126.242000,152.827000, 4096.000000,321.500000,4096.000000,8192.000000,18.100000
UAV,0,9, 1345.682000,1032.115000,89.963000,125.211000,98.393000, 4096.000000,296.700000,4096.000000,8192.000000,18.000000
UAV,0,37, 1453.793000,1094.613000,94.227000,129.497000,135.456000, 4096.000000,305.100000,4096.000000,8192.000000,18.000000
UAV,0,38, 1461.475000,1101.551000,93.050000,126.666000,140.208000, 4096.000000,314.800000,4096.000000,8192.000000,18.000000
