Variable,Index,Run,Total,Search,P1,P2,Ex,InitHeap,UsedHeap,CommitHeap,MaxHeap,MaxNonHeap
UAV,0,44, 671.408000,541.959000,0.000000,129.449000,0.000000, 4096.000000,295.900000,3959.500000,3959.500000,17.400000
UAV,0,50, 671.150000,540.380000,0.000000,130.770000,0.000000, 4096.000000,296.200000,3959.500000,3959.500000,17.400000
UAV,0,10, 671.287000,539.456000,0.000000,131.831000,0.000000, 4096.000000,296.100000,3959.500000,3959.500000,17.200000
UAV,0,22, 671.275000,540.730000,0.000000,130.545000,0.000000, 4096.000000,296.100000,3959.500000,3959.500000,17.100000
UAV,0,31, 671.183000,541.053000,0.000000,130.130000,0.000000, 4096.000000,295.600000,3959.500000,3959.500000,17.600000
UAV,0,15, 671.091000,540.232000,0.000000,130.859000,0.000000, 4096.000000,295.700000,3959.500000,3959.500000,17.400000
UAV,0,41, 671.319000,540.559000,0.000000,130.760000,0.000000, 4096.000000,295.900000,3959.500000,3959.500000,17.300000
UAV,0,48, 671.300000,539.147000,0.000000,132.153000,0.000000, 4096.000000,295.900000,3959.500000,3959.500000,17.300000
UAV,0,12, 671.252000,540.869000,0.000000,130.383000,0.000000, 4096.000000,295.900000,3959.500000,3959.500000,17.500000
UAV,0,6, 671.347000,541.451000,0.000000,129.896000,0.000000, 4096.000000,296.200000,3959.500000,3959.500000,17.000000
UAV,0,49, 671.233000,540.131000,0.000000,131.102000,0.000000, 4096.000000,296.200000,3959.500000,3959.500000,17.300000
UAV,0,27, 671.099000,540.335000,0.000000,130.764000,0.000000, 4096.000000,296.200000,3959.500000,3959.500000,17.400000
UAV,0,47, 671.140000,539.258000,0.000000,131.882000,0.000000, 4096.000000,296.100000,3959.500000,3959.500000,16.900000
UAV,0,45, 671.137000,534.320000,0.000000,136.817000,0.000000, 4096.000000,295.900000,3959.500000,3959.500000,17.200000
UAV,0,28, 671.108000,540.698000,0.000000,130.410000,0.000000, 4096.000000,295.900000,3959.500000,3959.500000,17.100000
UAV,0,7, 671.181000,540.427000,0.000000,130.754000,0.000000, 4096.000000,296.100000,3959.500000,3959.500000,17.000000
UAV,0,36, 671.246000,540.700000,0.000000,130.546000,0.000000, 4096.000000,296.200000,3959.500000,3959.500000,17.300000
