Variable,Index,Run,Total,Search,P1,P2,Ex,InitHeap,UsedHeap,CommitHeap,MaxHeap,MaxNonHeap
15,9,44, 1638.788000,766.461000,254.995000,445.850000,171.482000, 4096.000000,334.700000,3925.500000,18204.500000,13.100000
15,9,50, 1777.745000,866.962000,255.789000,447.953000,207.041000, 4096.000000,332.400000,3925.500000,18204.500000,13.200000
15,9,10, 1327.964000,624.393000,203.751000,373.982000,125.838000, 4096.000000,334.900000,3925.500000,18204.500000,13.100000
15,9,22, 1844.563000,866.352000,255.585000,454.550000,268.076000, 4096.000000,355.700000,3925.500000,18204.500000,13.000000
15,9,31, 1631.299000,781.569000,251.846000,448.555000,149.329000, 4096.000000,344.700000,3925.500000,18204.500000,12.900000
15,9,15, 1681.798000,790.267000,252.407000,439.820000,199.304000, 4096.000000,345.400000,3925.500000,18204.500000,13.100000
15,9,41, 1549.250000,745.227000,240.913000,430.564000,132.546000, 4096.000000,335.100000,3925.500000,18204.500000,13.000000
15,9,48, 1608.177000,797.877000,241.681000,429.077000,139.542000, 4096.000000,334.700000,3925.500000,18204.500000,13.100000
15,9,12, 1464.858000,613.045000,223.397000,407.880000,220.536000, 4096.000000,345.200000,3925.500000,18204.500000,13.000000
15,9,6, 1468.796000,613.301000,225.817000,414.272000,215.406000, 4096.000000,335.200000,3925.500000,18204.500000,13.000000
15,9,49, 1651.711000,783.581000,249.180000,435.678000,183.272000, 4096.000000,335.100000,3925.500000,18204.500000,12.900000
15,9,27, 1764.553000,808.560000,253.594000,443.923000,258.476000, 4096.000000,334.500000,3925.500000,18204.500000,13.000000
15,9,47, 2023.970000,892.405000,284.005000,513.762000,333.798000, 4096.000000,334.400000,3925.500000,18204.500000,13.000000
15,9,45, 1912.895000,856.261000,297.428000,537.169000,222.037000, 4096.000000,334.300000,3925.500000,18204.500000,13.000000
15,9,28, 1541.061000,778.032000,232.038000,413.250000,117.741000, 4096.000000,354.900000,3925.500000,18204.500000,12.900000
15,9,7, 1833.753000,860.448000,281.809000,513.077000,178.419000, 4096.000000,335.300000,3925.500000,18204.500000,13.000000
15,9,36, 1419.206000,607.557000,227.582000,416.926000,167.141000, 4096.000000,335.200000,3925.500000,18204.500000,13.100000
15,9,46, 2046.090000,900.432000,284.004000,516.430000,345.224000, 4096.000000,334.100000,3925.500000,18204.500000,13.100000
15,9,33, 1829.539000,884.861000,267.145000,471.791000,205.742000, 4096.000000,334.600000,3925.500000,18204.500000,12.800000
15,9,4, 1967.412000,871.825000,284.380000,515.700000,295.507000, 4096.000000,334.600000,3925.500000,18204.500000,12.900000
15,9,24, 1557.777000,756.381000,235.047000,413.393000,152.956000, 4096.000000,335.700000,3925.500000,18204.500000,13.000000
15,9,11, 1805.123000,832.106000,245.278000,429.928000,297.811000, 4096.000000,334.000000,3925.500000,18204.500000,13.000000
15,9,30, 1256.005000,598.305000,185.446000,341.313000,130.941000, 4096.000000,335.600000,3925.500000,18204.500000,12.900000
15,9,19, 1919.235000,954.286000,290.985000,523.820000,150.144000, 4096.000000,333.000000,3925.500000,18204.500000,13.100000
15,9,40, 1400.866000,597.547000,226.124000,414.731000,162.464000, 4096.000000,334.400000,3925.500000,18204.500000,13.100000
15,9,43, 1602.802000,790.942000,247.081000,436.127000,128.652000, 4096.000000,334.000000,3925.500000,18204.500000,13.000000
15,9,23, 1596.394000,765.161000,244.860000,431.813000,154.560000, 4096.000000,334.400000,3925.500000,18204.500000,13.000000
15,9,25, 1674.610000,777.234000,258.145000,451.308000,187.923000, 4096.000000,334.500000,3925.500000,18204.500000,13.000000
15,9,21, 1610.850000,759.340000,245.935000,433.312000,172.263000, 4096.000000,355.200000,3925.500000,18204.500000,12.900000
15,9,34, 1615.344000,773.021000,230.160000,400.543000,211.620000, 4096.000000,335.400000,3925.500000,18204.500000,13.100000
15,9,8, 1609.155000,787.959000,244.512000,428.850000,147.834000, 4096.000000,334.500000,3925.500000,18204.500000,12.900000
15,9,29, 1418.869000,599.357000,230.012000,419.044000,170.456000, 4096.000000,345.500000,3925.500000,18204.500000,13.000000
15,9,20, 1845.874000,829.864000,259.999000,453.369000,302.642000, 4096.000000,334.300000,3925.500000,18204.500000,12.900000
15,9,3, 1745.813000,823.610000,246.298000,430.025000,245.880000, 4096.000000,335.100000,3925.500000,18204.500000,13.000000
15,9,9, 1645.261000,768.065000,258.843000,449.568000,168.785000, 4096.000000,334.900000,3925.500000,18204.500000,13.200000
15,9,37, 1586.928000,778.991000,243.060000,427.121000,137.756000, 4096.000000,364.200000,3925.500000,18204.500000,13.100000
15,9,38, 1851.031000,847.941000,296.272000,538.519000,168.299000, 4096.000000,334.200000,3925.500000,18204.500000,13.100000
15,9,17, 1587.155000,785.578000,237.122000,416.320000,148.135000, 4096.000000,333.800000,3925.500000,18204.500000,13.100000
15,9,18, 1459.565000,607.771000,228.885000,420.217000,202.692000, 4096.000000,334.600000,3925.500000,18204.500000,13.000000
15,9,5, 1937.226000,865.956000,297.008000,540.068000,234.194000, 4096.000000,335.100000,3925.500000,18204.500000,13.000000
