Variable,Index,Run,Cycle,Iteration,Distance,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdingDistance
0.10,9,44,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,44,1000,2,3.627016e+02,0,8421,-3.679708e+02,3.0,9,0,Infinity
0.10,9,44,1000,2,3.627016e+02,1,5471,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,44,1000,2,3.627016e+02,2,8273,-3.628527e+02,0.0,0,0,1.2165402822133253
0.10,9,44,1000,2,3.627016e+02,3,8586,-3.626615e+02,-9.0,0,0,0.24180835370361
0.10,9,44,1000,2,3.627016e+02,4,5497,-3.626598e+02,-12.0,0,0,0.2384671936063644
0.10,9,44,1000,2,3.627016e+02,5,6510,-3.626595e+02,-14.0,0,0,0.2382097523381445
0.10,9,44,1000,2,3.627016e+02,6,7548,-3.627737e+02,-2.0,0,0,0.2087859267787071
0.10,9,44,1000,2,3.627016e+02,7,3588,-3.626795e+02,-7.0,0,0,0.20111797178165788
0.10,9,44,1000,2,3.627016e+02,8,9750,-3.626592e+02,-17.0,0,0,0.19053874947257235
0.10,9,44,1000,2,3.627016e+02,9,7189,-3.627180e+02,-5.0,0,0,0.1571578100271735
0.10,9,50,0,0,3.655342e+02,0,1,-3.651387e+02,-20.0,0,0,Infinity
0.10,9,50,1000,2,3.627001e+02,0,9322,-3.626592e+02,-18.0,0,0,Infinity
0.10,9,50,1000,2,3.627001e+02,1,6192,-3.679707e+02,3.0,9,0,Infinity
0.10,9,50,1000,2,3.627001e+02,2,6056,-3.628527e+02,0.0,0,0,1.15853709638716
0.10,9,50,1000,2,3.627001e+02,3,7914,-3.626598e+02,-12.0,0,0,0.2861234865662329
0.10,9,50,1000,2,3.627001e+02,4,6415,-3.626593e+02,-15.0,0,0,0.28582417408537486
0.10,9,50,1000,2,3.627001e+02,5,7517,-3.626615e+02,-9.0,0,0,0.24152896848839653
0.10,9,50,1000,2,3.627001e+02,6,9185,-3.626780e+02,-7.0,0,0,0.1973108191145956
0.10,9,50,1000,2,3.627001e+02,7,1264,-3.627782e+02,-2.0,0,0,0.16142032889596883
0.10,9,50,1000,2,3.627001e+02,8,5934,-3.627303e+02,-4.0,0,0,0.1579879783951151
0.10,9,50,1000,2,3.627001e+02,9,3880,-3.626978e+02,-5.0,0,0,0.15268943214309963
