Variable,Index,Run,Total,Search,P1,P2,Ex,InitHeap,UsedHeap,CommitHeap,MaxHeap,MaxNonHeap
0.10,9,44, 1947.652000,873.075000,321.435000,636.145000,116.997000, 4096.000000,372.300000,3925.500000,18204.500000,13.400000
0.10,9,50, 1686.631000,667.503000,264.806000,521.074000,233.248000, 4096.000000,385.400000,3925.500000,18204.500000,13.000000
0.10,9,10, 1754.801000,758.075000,272.782000,531.033000,192.911000, 4096.000000,386.300000,3925.500000,18204.500000,13.400000
0.10,9,22, 1488.338000,602.485000,251.395000,497.520000,136.938000, 4096.000000,365.600000,3925.500000,18204.500000,13.200000
0.10,9,31, 1772.051000,757.953000,282.164000,543.947000,187.987000, 4096.000000,364.700000,3925.500000,18204.500000,13.200000
0.10,9,15, 1828.057000,761.606000,295.305000,567.275000,203.871000, 4096.000000,396.600000,3925.500000,18204.500000,13.400000
0.10,9,41, 1781.921000,798.850000,291.560000,569.291000,122.220000, 4096.000000,395.400000,3925.500000,18204.500000,13.200000
0.10,9,48, 1976.158000,880.998000,319.741000,628.252000,147.167000, 4096.000000,371.600000,3925.500000,18204.500000,13.100000
0.10,9,12, 1757.886000,777.345000,289.385000,567.127000,124.029000, 4096.000000,370.400000,3925.500000,18204.500000,13.200000
0.10,9,6, 1591.643000,633.940000,271.450000,527.279000,158.974000, 4096.000000,386.100000,3925.500000,18204.500000,13.200000
0.10,9,49, 1483.309000,581.228000,258.253000,507.505000,136.323000, 4096.000000,379.900000,3925.500000,18204.500000,13.200000
0.10,9,27, 1348.973000,613.827000,230.265000,452.526000,52.355000, 4096.000000,365.900000,3925.500000,18204.500000,13.300000
0.10,9,47, 1973.490000,855.986000,291.117000,554.689000,271.698000, 4096.000000,369.600000,3925.500000,18204.500000,13.300000
0.10,9,45, 1702.862000,803.880000,281.211000,558.759000,59.012000, 4096.000000,365.600000,3925.500000,18204.500000,13.300000
0.10,9,28, 1725.835000,774.966000,280.345000,545.447000,125.077000, 4096.000000,376.300000,3925.500000,18204.500000,13.200000
0.10,9,7, 1542.105000,742.644000,245.578000,469.531000,84.352000, 4096.000000,406.800000,3925.500000,18204.500000,13.300000
0.10,9,36, 1520.465000,611.068000,262.209000,517.896000,129.292000, 4096.000000,369.600000,3925.500000,18204.500000,13.400000
0.10,9,46, 1758.776000,864.503000,275.183000,549.103000,69.987000, 4096.000000,375.200000,3925.500000,18204.500000,13.400000
0.10,9,33, 1479.511000,596.555000,262.365000,514.863000,105.728000, 4096.000000,365.600000,3925.500000,18204.500000,13.200000
0.10,9,4, 1755.611000,785.015000,285.791000,559.753000,125.052000, 4096.000000,365.400000,3925.500000,18204.500000,13.100000
0.10,9,24, 1832.997000,745.353000,304.887000,576.251000,206.506000, 4096.000000,375.400000,3925.500000,18204.500000,13.100000
0.10,9,11, 1820.965000,808.648000,293.361000,578.373000,140.583000, 4096.000000,366.100000,3925.500000,18204.500000,13.300000
0.10,9,30, 1405.451000,606.879000,258.237000,508.074000,32.261000, 4096.000000,416.100000,3925.500000,18204.500000,13.100000
0.10,9,19, 1996.025000,900.591000,335.657000,663.012000,96.765000, 4096.000000,376.100000,3925.500000,18204.500000,13.400000
0.10,9,40, 1450.365000,603.909000,260.454000,512.209000,73.793000, 4096.000000,364.900000,3925.500000,18204.500000,13.200000
0.10,9,43, 1929.487000,880.791000,291.137000,552.135000,205.424000, 4096.000000,366.100000,3925.500000,18204.500000,13.200000
0.10,9,23, 1869.652000,780.065000,293.636000,560.852000,235.099000, 4096.000000,386.100000,3925.500000,18204.500000,13.100000
0.10,9,25, 1875.250000,886.650000,288.629000,557.363000,142.608000, 4096.000000,406.400000,3925.500000,18204.500000,13.400000
0.10,9,21, 1774.221000,800.054000,280.835000,548.699000,144.633000, 4096.000000,365.200000,3925.500000,18204.500000,13.100000
0.10,9,34, 1770.680000,756.457000,292.313000,566.811000,155.099000, 4096.000000,410.400000,3925.500000,18204.500000,13.200000
0.10,9,8, 1522.657000,574.963000,258.095000,509.849000,179.750000, 4096.000000,365.900000,3925.500000,18204.500000,13.300000
0.10,9,29, 1490.247000,617.728000,262.924000,516.745000,92.850000, 4096.000000,365.200000,3925.500000,18204.500000,13.200000
0.10,9,20, 1614.647000,674.613000,259.855000,512.220000,167.959000, 4096.000000,365.600000,3925.500000,18204.500000,13.200000
0.10,9,3, 1807.262000,791.297000,282.695000,544.202000,189.068000, 4096.000000,379.200000,3925.500000,18204.500000,13.400000
0.10,9,9, 1418.834000,610.325000,226.865000,447.152000,134.492000, 4096.000000,385.900000,3925.500000,18204.500000,13.100000
0.10,9,37, 1858.811000,754.418000,298.253000,568.084000,238.056000, 4096.000000,386.600000,3925.500000,18204.500000,13.200000
0.10,9,38, 1814.548000,714.850000,270.423000,531.393000,297.882000, 4096.000000,396.100000,3925.500000,18204.500000,13.100000
0.10,9,17, 2000.138000,804.513000,328.229000,637.073000,230.323000, 4096.000000,375.400000,3925.500000,18204.500000,13.300000
0.10,9,18, 2098.675000,928.360000,344.881000,682.264000,143.170000, 4096.000000,371.700000,3925.500000,18204.500000,13.300000
0.10,9,5, 1470.142000,620.127000,257.123000,503.912000,88.980000, 4096.000000,365.400000,3925.500000,18204.500000,13.300000
0.10,9,2, 1844.698000,891.361000,284.699000,564.293000,104.345000, 4096.000000,416.600000,3925.500000,18204.500000,13.200000
0.10,9,35, 1755.990000,796.945000,275.897000,539.027000,144.121000, 4096.000000,365.200000,3925.500000,18204.500000,13.100000
0.10,9,26, 1576.074000,704.257000,268.675000,528.813000,74.329000, 4096.000000,375.200000,3925.500000,18204.500000,13.200000
0.10,9,39, 1393.583000,612.783000,209.017000,413.072000,158.711000, 4096.000000,375.200000,3925.500000,18204.500000,13.000000
0.10,9,1, 1803.886000,904.719000,273.759000,539.461000,85.947000, 4096.000000,365.400000,3925.500000,18204.500000,13.300000
0.10,9,32, 1944.461000,954.255000,294.869000,575.781000,119.556000, 4096.000000,385.900000,3925.500000,18204.500000,13.000000
0.10,9,16, 1859.356000,784.354000,288.147000,552.491000,234.364000, 4096.000000,365.400000,3925.500000,18204.500000,13.100000
0.10,9,42, 1709.368000,798.200000,282.765000,559.507000,68.896000, 4096.000000,365.600000,3925.500000,18204.500000,13.200000
0.10,9,13, 1777.157000,740.176000,294.548000,561.821000,180.612000, 4096.000000,365.100000,3925.500000,18204.500000,13.300000
0.10,9,14, 1769.145000,795.367000,292.937000,571.421000,109.420000, 4096.000000,374.500000,3925.500000,18204.500000,13.200000
0.10,8,44, 1325.052000,539.915000,250.515000,507.290000,27.332000, 4096.000000,248.200000,3925.500000,18204.500000,13.200000
0.10,8,50, 1355.431000,543.741000,260.757000,525.794000,25.139000, 4096.000000,258.000000,3925.500000,18204.500000,13.200000
0.10,8,10, 1344.388000,536.765000,262.061000,529.272000,16.290000, 4096.000000,251.200000,3925.500000,18204.500000,13.400000
0.10,8,22, 1330.680000,547.985000,252.945000,513.184000,16.566000, 4096.000000,247.500000,3925.500000,18204.500000,13.200000
0.10,8,31, 1029.629000,403.758000,204.543000,406.165000,15.163000, 4096.000000,257.900000,3925.500000,18204.500000,13.300000
0.10,8,15, 1152.170000,406.281000,246.099000,483.148000,16.642000, 4096.000000,248.200000,3925.500000,18204.500000,13.200000
0.10,8,41, 1370.508000,535.542000,269.433000,543.829000,21.704000, 4096.000000,267.800000,3925.500000,18204.500000,13.100000
0.10,8,48, 1322.758000,538.723000,252.090000,510.800000,21.145000, 4096.000000,251.700000,3925.500000,18204.500000,13.200000
0.10,8,12, 1654.632000,647.934000,322.953000,641.976000,41.769000, 4096.000000,268.500000,3925.500000,18204.500000,13.200000
0.10,8,6, 1587.491000,619.403000,315.233000,630.705000,22.150000, 4096.000000,247.500000,3925.500000,18204.500000,13.200000
0.10,8,49, 1343.998000,537.638000,261.334000,527.366000,17.660000, 4096.000000,247.800000,3925.500000,18204.500000,13.300000
0.10,8,27, 1307.780000,542.298000,248.141000,500.905000,16.436000, 4096.000000,261.500000,3925.500000,18204.500000,13.200000
0.10,8,47, 1360.785000,538.855000,266.536000,536.761000,18.633000, 4096.000000,248.000000,3925.500000,18204.500000,13.300000
0.10,8,45, 1433.597000,618.640000,262.443000,526.288000,26.226000, 4096.000000,247.100000,3925.500000,18204.500000,13.300000
0.10,8,28, 1415.120000,576.008000,271.191000,547.678000,20.243000, 4096.000000,251.400000,3925.500000,18204.500000,13.100000
0.10,8,7, 1155.123000,404.643000,248.527000,485.649000,16.304000, 4096.000000,246.800000,3925.500000,18204.500000,13.300000
0.10,8,36, 1168.742000,415.292000,247.435000,487.257000,18.758000, 4096.000000,257.500000,3925.500000,18204.500000,13.200000
0.10,8,46, 1348.972000,537.268000,260.849000,528.157000,22.698000, 4096.000000,299.400000,3925.500000,18204.500000,13.300000
0.10,8,33, 1386.328000,537.118000,275.440000,553.985000,19.785000, 4096.000000,247.300000,3925.500000,18204.500000,13.200000
0.10,8,4, 1331.171000,547.307000,253.612000,512.675000,17.577000, 4096.000000,257.800000,3925.500000,18204.500000,13.300000
0.10,8,24, 1323.234000,543.264000,253.614000,512.963000,13.393000, 4096.000000,267.800000,3925.500000,18204.500000,13.300000
0.10,8,11, 1346.505000,543.953000,258.744000,524.549000,19.259000, 4096.000000,258.000000,3925.500000,18204.500000,13.200000
0.10,8,30, 1302.466000,531.009000,250.783000,507.343000,13.331000, 4096.000000,248.000000,3925.500000,18204.500000,13.200000
0.10,8,19, 1309.905000,519.483000,259.473000,506.540000,24.409000, 4096.000000,247.100000,3925.500000,18204.500000,13.300000
0.10,8,40, 1158.937000,402.764000,251.223000,493.499000,11.451000, 4096.000000,247.700000,3925.500000,18204.500000,13.400000
0.10,8,43, 1309.210000,538.793000,248.629000,502.233000,19.555000, 4096.000000,247.300000,3925.500000,18204.500000,13.200000
0.10,8,23, 1354.359000,547.877000,260.511000,526.037000,19.934000, 4096.000000,257.700000,3925.500000,18204.500000,13.200000
0.10,8,25, 1345.322000,546.234000,257.694000,519.615000,21.779000, 4096.000000,247.500000,3925.500000,18204.500000,13.200000
0.10,8,21, 1338.403000,547.514000,255.707000,515.767000,19.415000, 4096.000000,248.200000,3925.500000,18204.500000,13.200000
0.10,8,34, 1353.003000,558.887000,256.453000,515.799000,21.864000, 4096.000000,248.000000,3925.500000,18204.500000,13.100000
0.10,8,8, 1519.002000,581.022000,305.886000,611.420000,20.674000, 4096.000000,248.400000,3925.500000,18204.500000,13.300000
0.10,8,29, 1400.033000,596.663000,257.719000,515.059000,30.592000, 4096.000000,257.300000,3925.500000,18204.500000,13.200000
0.10,8,20, 1084.898000,416.988000,217.625000,429.858000,20.427000, 4096.000000,260.900000,3925.500000,18204.500000,13.200000
0.10,8,3, 1415.151000,591.874000,262.499000,530.247000,30.531000, 4096.000000,248.200000,3925.500000,18204.500000,13.200000
0.10,8,9, 1354.916000,546.046000,258.383000,519.795000,30.692000, 4096.000000,248.200000,3925.500000,18204.500000,13.200000
0.10,8,37, 1339.634000,539.197000,258.605000,523.265000,18.567000, 4096.000000,251.700000,3925.500000,18204.500000,13.300000
0.10,8,38, 1069.666000,411.780000,214.339000,423.286000,20.261000, 4096.000000,248.900000,3925.500000,18204.500000,13.400000
0.10,8,17, 1576.914000,610.867000,305.880000,616.076000,44.091000, 4096.000000,247.100000,3925.500000,18204.500000,13.100000
0.10,8,18, 1367.722000,560.523000,260.213000,524.687000,22.299000, 4096.000000,248.200000,3925.500000,18204.500000,13.200000
0.10,8,5, 1340.680000,550.611000,255.443000,517.032000,17.594000, 4096.000000,258.200000,3925.500000,18204.500000,13.200000
0.10,8,2, 1418.801000,599.319000,264.698000,526.254000,28.530000, 4096.000000,259.400000,3925.500000,18204.500000,13.200000
0.10,8,35, 1332.350000,544.396000,252.529000,512.008000,23.417000, 4096.000000,258.200000,3925.500000,18204.500000,13.200000
0.10,8,26, 1295.614000,530.883000,248.056000,501.713000,14.962000, 4096.000000,258.000000,3925.500000,18204.500000,13.200000
0.10,8,39, 1164.362000,401.360000,252.362000,498.314000,12.326000, 4096.000000,260.400000,3925.500000,18204.500000,13.200000
0.10,8,1, 1417.909000,585.405000,270.642000,543.566000,18.296000, 4096.000000,278.200000,3925.500000,18204.500000,13.400000
0.10,8,32, 1189.741000,427.608000,249.732000,490.296000,22.105000, 4096.000000,258.500000,3925.500000,18204.500000,13.100000
0.10,8,16, 1569.001000,578.408000,323.917000,647.344000,19.332000, 4096.000000,258.200000,3925.500000,18204.500000,13.200000
0.10,8,42, 1366.018000,558.014000,259.512000,523.699000,24.793000, 4096.000000,248.200000,3925.500000,18204.500000,13.400000
0.10,8,13, 1137.982000,420.669000,236.647000,466.685000,13.981000, 4096.000000,257.700000,3925.500000,18204.500000,13.100000
0.10,8,14, 1367.528000,574.726000,254.478000,516.410000,21.914000, 4096.000000,247.300000,3925.500000,18204.500000,13.400000
0.10,1,44, 2000.504000,917.758000,295.204000,521.841000,265.701000, 4096.000000,394.800000,3925.500000,18204.500000,13.200000
