Variable,Index,Run,Total,Search,P1,P2,Ex,InitHeap,UsedHeap,CommitHeap,MaxHeap,MaxNonHeap
9,9,44, 6151.287000,1992.326000,1177.786000,2166.195000,814.980000, 4096.000000,1006.800000,3925.500000,18204.500000,13.400000
9,9,50, 6494.183000,2043.905000,1229.624000,2255.012000,965.642000, 4096.000000,997.200000,3925.500000,18204.500000,13.400000
9,9,10, 6122.020000,2132.294000,1067.121000,1957.459000,965.146000, 4096.000000,1006.000000,3925.500000,18204.500000,13.400000
9,9,22, 7558.087000,2506.932000,1373.544000,2563.559000,1114.052000, 4096.000000,996.100000,3925.500000,18204.500000,13.100000
9,9,31, 7253.267000,2638.239000,1313.752000,2405.826000,895.450000, 4096.000000,1006.200000,3925.500000,18204.500000,13.400000
9,9,15, 7571.380000,2750.181000,1367.199000,2411.405000,1042.595000, 4096.000000,1007.400000,3925.500000,18204.500000,13.300000
9,9,41, 7283.024000,2458.641000,1290.591000,2370.087000,1163.705000, 4096.000000,996.400000,3925.500000,18204.500000,13.300000
9,9,48, 7031.487000,2193.390000,1257.470000,2310.237000,1270.390000, 4096.000000,1005.900000,3925.500000,18204.500000,13.200000
9,9,12, 7605.280000,2598.891000,1344.667000,2488.420000,1173.302000, 4096.000000,985.700000,3925.500000,18204.500000,13.300000
9,9,6, 7753.721000,2931.388000,1381.478000,2448.594000,992.261000, 4096.000000,1015.100000,3925.500000,18204.500000,13.400000
9,9,49, 5955.864000,2095.255000,1070.220000,1953.304000,837.085000, 4096.000000,1025.800000,3925.500000,18204.500000,13.400000
9,9,27, 5931.220000,2080.983000,1093.849000,1999.550000,756.838000, 4096.000000,1006.300000,3925.500000,18204.500000,13.300000
9,9,47, 6237.587000,2122.368000,1094.589000,1999.205000,1021.425000, 4096.000000,1007.100000,3925.500000,18204.500000,13.200000
9,9,45, 5837.929000,2086.370000,1053.047000,1930.068000,768.444000, 4096.000000,995.900000,3925.500000,18204.500000,13.300000
9,9,28, 6360.096000,2350.599000,1121.301000,2057.533000,830.663000, 4096.000000,995.400000,3925.500000,18204.500000,13.200000
9,9,7, 7595.632000,2736.023000,1377.853000,2446.776000,1034.980000, 4096.000000,1006.700000,3925.500000,18204.500000,13.300000
9,9,36, 5804.793000,2083.872000,1071.213000,1963.391000,686.317000, 4096.000000,1006.700000,3925.500000,18204.500000,13.300000
9,9,46, 6700.395000,2024.921000,1264.061000,2318.339000,1093.074000, 4096.000000,1006.500000,3925.500000,18204.500000,13.300000
9,9,33, 6562.755000,2066.105000,1249.968000,2290.197000,956.485000, 4096.000000,1006.000000,3925.500000,18204.500000,13.400000
9,9,4, 7784.378000,2860.152000,1376.423000,2582.221000,965.582000, 4096.000000,1037.400000,3925.500000,18204.500000,13.100000
9,9,24, 6920.643000,2368.750000,1332.453000,2433.781000,785.659000, 4096.000000,1006.200000,3925.500000,18204.500000,13.400000
9,9,11, 7201.325000,2429.506000,1302.049000,2375.184000,1094.586000, 4096.000000,995.900000,3925.500000,18204.500000,13.300000
9,9,30, 6439.050000,2302.407000,1146.021000,2104.169000,886.453000, 4096.000000,1014.800000,3925.500000,18204.500000,13.300000
9,9,19, 7567.889000,2736.033000,1376.665000,2425.045000,1030.146000, 4096.000000,1006.100000,3925.500000,18204.500000,13.200000
9,9,40, 6328.838000,2073.119000,1175.989000,2153.055000,926.675000, 4096.000000,986.100000,3925.500000,18204.500000,13.300000
9,9,43, 7335.665000,2429.100000,1331.230000,2417.571000,1157.764000, 4096.000000,1006.000000,3925.500000,18204.500000,13.400000
