Variable,Index,Run,Cycle,Iteration,Distance,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdingDistance
4000,9,44,0,0,9.877040e+02,0,1,-9.876716e+02,-44.0,0,0,Infinity
4000,9,44,1000,2,9.702200e+02,0,9752,-3.504183e+03,36.0,708,0,Infinity
4000,9,44,1000,2,9.702200e+02,1,7180,-9.698978e+02,-11.0,0,0,Infinity
4000,9,44,1000,2,9.702200e+02,2,8274,-1.047003e+03,27.0,308,0,1.2458584499419083
4000,9,44,1000,2,9.702200e+02,3,4628,-9.702797e+02,0.0,1,0,0.34059671106279293
4000,9,44,1000,2,9.702200e+02,4,4797,-9.703570e+02,9.0,1,0,0.2555172751723615
4000,9,44,1000,2,9.702200e+02,5,3606,-9.707819e+02,12.0,1,0,0.23533031875237614
4000,9,44,1000,2,9.702200e+02,6,3699,-9.699232e+02,-7.0,0,0,0.2341932567382392
4000,9,44,1000,2,9.702200e+02,7,6310,-9.736205e+02,20.0,8,0,0.19352746356747816
4000,9,44,1000,2,9.702200e+02,8,6040,-9.938739e+02,24.0,8,0,0.1556975035984152
4000,9,44,1000,2,9.702200e+02,9,9585,-9.759470e+02,21.0,8,0,0.09309814199263425
4000,9,50,0,0,9.877040e+02,0,1,-9.876716e+02,-44.0,0,0,Infinity
4000,9,50,1000,2,9.701942e+02,0,7932,-9.698973e+02,-12.0,0,0,Infinity
4000,9,50,1000,2,9.701942e+02,1,4511,-3.504768e+03,36.0,708,0,Infinity
4000,9,50,1000,2,9.701942e+02,2,8333,-1.047001e+03,27.0,308,0,1.2353362599531539
4000,9,50,1000,2,9.701942e+02,3,6317,-9.714458e+02,13.0,1,0,0.2512876562351882
4000,9,50,1000,2,9.701942e+02,4,4747,-9.736205e+02,20.0,8,0,0.24321953588620615
4000,9,50,1000,2,9.701942e+02,5,7955,-9.703565e+02,8.0,1,0,0.22961712530110467
