Variable,Index,Run,Cycle,Iteration,Distance,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdingDistance
15,9,44,0,0,3.343567e+02,0,1,-3.329165e+02,-52.0,0,0,Infinity
15,9,44,1000,2,3.295285e+02,0,7732,-3.293361e+02,-49.0,0,0,Infinity
15,9,44,1000,2,3.295285e+02,1,6051,-1.148714e+03,21.0,638,0,Infinity
15,9,44,1000,2,3.295285e+02,2,3732,-1.148714e+03,21.0,638,0,Infinity
15,9,44,1000,2,3.295285e+02,3,9975,-5.037765e+02,-3.0,237,0,0.5848148982103254
15,9,44,1000,2,3.295285e+02,4,2504,-9.358049e+02,14.0,510,0,0.5064354707908378
15,9,44,1000,2,3.295285e+02,5,9769,-3.548620e+02,-11.0,26,0,0.4945710480880254
15,9,44,1000,2,3.295285e+02,6,2236,-8.859223e+02,8.0,403,0,0.48133272698083795
15,9,44,1000,2,3.295285e+02,7,3724,-6.233493e+02,7.0,385,0,0.4633111880777115
15,9,44,1000,2,3.295285e+02,8,9573,-3.293449e+02,-32.0,0,0,0.3611691422383864
15,9,44,1000,2,3.295285e+02,9,10010,-3.443492e+02,-24.0,55,0,0.33114206634424986
15,9,50,0,0,3.343567e+02,0,1,-3.329165e+02,-52.0,0,0,Infinity
15,9,50,1000,2,3.302314e+02,0,9983,-1.148714e+03,21.0,638,0,Infinity
15,9,50,1000,2,3.302314e+02,1,9681,-3.296253e+02,-41.0,0,0,Infinity
15,9,50,1000,2,3.302314e+02,2,7010,-1.148714e+03,21.0,638,0,Infinity
15,9,50,1000,2,3.302314e+02,3,8144,-6.233493e+02,7.0,385,0,0.5646412518674624
15,9,50,1000,2,3.302314e+02,4,896,-8.759003e+02,11.0,402,0,0.4943688344871115
15,9,50,1000,2,3.302314e+02,5,3496,-9.358035e+02,14.0,510,0,0.49436021640826255
15,9,50,1000,2,3.302314e+02,6,9558,-3.341258e+02,-23.0,0,0,0.49006903565899385
15,9,50,1000,2,3.302314e+02,7,10007,-4.358541e+02,-4.0,68,0,0.45092949606528104
15,9,50,1000,2,3.302314e+02,8,9339,-3.479131e+02,-12.0,3,0,0.43064857587878014
15,9,50,1000,2,3.302314e+02,9,7755,-5.190978e+02,3.0,169,0,0.40632630521019064
15,9,10,0,0,3.343567e+02,0,1,-3.329165e+02,-52.0,0,0,Infinity
15,9,10,1000,2,3.307278e+02,0,8992,-1.148714e+03,21.0,638,0,Infinity
15,9,10,1000,2,3.307278e+02,1,4902,-1.148714e+03,21.0,638,0,Infinity
15,9,10,1000,2,3.307278e+02,2,4713,-3.295404e+02,-49.0,0,0,Infinity
15,9,10,1000,2,3.307278e+02,3,9534,-3.312162e+02,-27.0,0,0,0.5433120506771566
15,9,10,1000,2,3.307278e+02,4,4196,-9.358035e+02,14.0,510,0,0.5065154317491689
15,9,10,1000,2,3.307278e+02,5,9725,-8.859223e+02,8.0,403,0,0.4814260828422814
15,9,10,1000,2,3.307278e+02,6,9939,-3.416155e+02,-12.0,3,0,0.45039882991893865
15,9,10,1000,2,3.307278e+02,7,3483,-6.233493e+02,7.0,385,0,0.4205339395766299
15,9,10,1000,2,3.307278e+02,8,9585,-5.361880e+02,0.0,180,0,0.3683464988647549
15,9,10,1000,2,3.307278e+02,9,9919,-4.310140e+02,-4.0,68,0,0.2470063648465753
15,9,22,0,0,3.343567e+02,0,1,-3.329165e+02,-52.0,0,0,Infinity
15,9,22,1000,2,3.298850e+02,0,9154,-3.293374e+02,-40.0,0,0,Infinity
15,9,22,1000,2,3.298850e+02,1,1091,-1.143928e+03,21.0,677,0,Infinity
15,9,22,1000,2,3.298850e+02,2,2594,-9.358035e+02,14.0,510,0,0.5289976549457924
15,9,22,1000,2,3.298850e+02,3,586,-8.732586e+02,9.0,402,0,0.49832634495225536
15,9,22,1000,2,3.298850e+02,4,2074,-6.233493e+02,7.0,385,0,0.4051521009966092
15,9,22,1000,2,3.298850e+02,5,9571,-5.356922e+02,1.0,170,0,0.39280016115139094
15,9,22,1000,2,3.298850e+02,6,9980,-3.346681e+02,-29.0,0,0,0.35515533283323597
15,9,22,1000,2,3.298850e+02,7,9140,-3.669052e+02,-10.0,55,0,0.2964063149388704
15,9,22,1000,2,3.298850e+02,8,9167,-4.369175e+02,-3.0,90,0,0.22124002792755432
15,9,22,1000,2,3.298850e+02,9,9586,-3.382107e+02,-19.0,0,0,0.22093631340841882
15,9,31,0,0,3.343567e+02,0,1,-3.329165e+02,-52.0,0,0,Infinity
15,9,31,1000,2,3.300445e+02,0,9882,-1.148714e+03,21.0,638,0,Infinity
15,9,31,1000,2,3.300445e+02,1,5923,-1.148714e+03,21.0,638,0,Infinity
