Variable,Index,Run,Cycle,Iteration,Distance,SolutionIndex,SolutionID,Schedulability,Satisfaction,DeadlineMiss,Rank,CrowdingDistance
9,9,44,0,0,1.505332e+03,0,1,-1.505013e+03,-67.0,0,0,Infinity
9,9,44,1000,2,1.504171e+03,0,9802,-1.503928e+03,-63.0,0,0,Infinity
9,9,44,1000,2,1.504171e+03,1,9432,-2.489776e+03,36.0,1356,0,Infinity
9,9,44,1000,2,1.504171e+03,2,2453,-1.896094e+03,27.0,1048,0,0.8982106301977084
9,9,44,1000,2,1.504171e+03,3,9993,-1.505073e+03,-45.0,0,0,0.41757094952006446
9,9,44,1000,2,1.504171e+03,4,9748,-1.561368e+03,10.0,99,0,0.3662395735188442
9,9,44,1000,2,1.504171e+03,5,9874,-1.544442e+03,-5.0,71,0,0.34464687193933896
9,9,44,1000,2,1.504171e+03,6,9616,-1.703858e+03,26.0,772,0,0.3136925433507108
9,9,44,1000,2,1.504171e+03,7,9920,-1.636631e+03,22.0,266,0,0.30615134252344023
9,9,44,1000,2,1.504171e+03,8,9975,-1.507309e+03,-22.0,0,0,0.26801198921212976
9,9,44,1000,2,1.504171e+03,9,9905,-1.510382e+03,-19.0,3,0,0.20938328974071074
9,9,50,0,0,1.505332e+03,0,1,-1.505013e+03,-67.0,0,0,Infinity
9,9,50,1000,2,1.504576e+03,0,9036,-1.504576e+03,-35.0,0,0,Infinity
9,9,50,1000,2,1.504576e+03,1,8894,-2.489853e+03,36.0,1356,0,Infinity
9,9,50,1000,2,1.504576e+03,2,9609,-1.894708e+03,27.0,1048,0,0.9384865398256788
9,9,50,1000,2,1.504576e+03,3,9543,-1.703955e+03,26.0,772,0,0.3659816516594186
9,9,50,1000,2,1.504576e+03,4,9426,-1.553930e+03,4.0,99,0,0.35122740202342184
9,9,50,1000,2,1.504576e+03,5,9667,-1.541423e+03,-9.0,71,0,0.30875834312539485
9,9,50,1000,2,1.504576e+03,6,9965,-1.582182e+03,13.0,236,0,0.2865663040441469
9,9,50,1000,2,1.504576e+03,7,9949,-1.527260e+03,-16.0,71,0,0.21540158658680364
9,9,50,1000,2,1.504576e+03,8,9344,-1.504577e+03,-24.0,0,0,0.188193344709489
9,9,50,1000,2,1.504576e+03,9,9747,-1.631255e+03,20.0,266,0,0.175559849266816
