TaskID,TaskName,TaskType,Priority,nExecution,avgExecution,nMissed,Avg.nMissed,minMargin,maxMargin,meanMargin,medianMargin
1,j0,Sporadic,25, 60000,6000.000000,0,0.000000, 9.400000,9.400000,9.400000,9.400000
2,j1,Periodic,24, 12010,1201.000000,0,0.000000, 48.100000,48.700000,48.100500,48.100000
3,j2,Periodic,23, 6010,601.000000,0,0.000000, 95.500000,96.100000,95.500998,95.500000
4,j3,Periodic,22, 6010,601.000000,0,0.000000, 94.900000,95.500000,94.900998,94.900000
5,j4,Periodic,21, 6010,601.000000,0,0.000000, 82.100000,82.700000,82.101997,82.100000
6,j5,Sporadic,20, 799,79.900000,0,0.000000, 80.800000,98.700000,84.762954,80.800000
7,j6,Sporadic,19, 656,65.600000,0,0.000000, 66.000000,85.800000,67.221189,66.000000
8,j7,Sporadic,18, 643,64.300000,0,0.000000, 64.100000,98.100000,66.159720,64.100000
9,j8,Sporadic,17, 6000,600.000000,0,0.000000, 62.200000,80.800000,78.349567,80.200000
10,j9,Sporadic,16, 610,61.000000,0,0.000000, 53.300000,91.700000,53.830492,53.300000
11,j10,Sporadic,15, 626,62.600000,0,0.000000, 51.700000,98.400000,53.471565,51.700000
12,j11,Sporadic,14, 6000,600.000000,0,0.000000, 47.200000,78.200000,73.968217,77.000000
13,j12,Sporadic,13, 6000,600.000000,0,0.000000, 46.100000,77.100000,72.867483,75.900000
14,j13,Periodic,12, 6010,601.000000,0,0.000000, 43.100000,79.100000,69.875524,72.900000
15,j14,Periodic,11, 610,61.000000,0,0.000000, 904.600000,939.300000,930.279344,933.100000
16,j15,Periodic,10, 2410,241.000000,0,0.000000, 64.600000,215.000000,188.275394,187.900000
17,j16,Periodic,9, 2410,241.000000,59,5.900000, -44.500000,168.800000,144.706598,168.800000
18,j17,Periodic,8, 1210,121.000000,0,0.000000, 127.800000,417.100000,369.174628,352.100000
19,j18,Periodic,7, 610,61.000000,0,0.000000, 624.800000,884.100000,825.931803,847.200000
20,j19,Periodic,6, 310,31.000000,0,0.000000, 1620.400000,1879.700000,1822.788387,1842.800000
21,j20,Aperiodic,5, 600,60.000000,0,0.000000, 617.300000,877.200000,820.735000,840.300000
22,j21,Aperiodic,4, 600,60.000000,0,0.000000, 616.200000,876.100000,819.399000,838.600000
23,j22,Aperiodic,3, 80,8.000000,0,0.000000, 611.800000,995.600000,702.947500,616.200000
24,j23,Aperiodic,2, 10,1.000000,0,0.000000, 59679.200000,59710.300000,59704.080000,59710.300000
25,j24,Aperiodic,1, 120,12.000000,0,0.000000, 4605.600000,4837.400000,4802.933333,4833.000000
