TaskID,TaskName,TaskType,Priority,nExecution,avgExecution,nMissed,Avg.nMissed,minMargin,maxMargin,meanMargin,medianMargin
1,j0,Sporadic,25, 60000,6000.000000,0,0.000000, 9.400000,9.400000,9.400000,9.400000
2,j1,Periodic,24, 12010,1201.000000,0,0.000000, 48.100000,48.700000,48.100500,48.100000
3,j2,Periodic,16, 6010,601.000000,0,0.000000, 83.900000,95.500000,88.224309,88.700000
4,j3,Periodic,23, 6010,601.000000,0,0.000000, 97.500000,98.100000,97.500998,97.500000
5,j4,Periodic,13, 6010,601.000000,0,0.000000, 58.600000,79.100000,71.464476,72.900000
6,j5,Sporadic,21, 799,79.900000,0,0.000000, 95.100000,98.700000,95.928160,95.100000
7,j6,Sporadic,12, 656,65.600000,0,0.000000, 43.100000,85.800000,45.965549,43.100000
8,j7,Sporadic,18, 643,64.300000,0,0.000000, 89.100000,98.100000,89.661120,89.100000
9,j8,Sporadic,19, 6000,600.000000,0,0.000000, 91.600000,94.500000,94.206800,94.500000
10,j9,Sporadic,14, 610,61.000000,0,0.000000, 72.000000,91.700000,72.259672,72.000000
11,j10,Sporadic,20, 626,62.600000,0,0.000000, 93.500000,98.400000,93.684185,93.500000
12,j11,Sporadic,17, 6000,600.000000,0,0.000000, 86.500000,91.900000,91.354083,91.900000
13,j12,Sporadic,22, 6000,600.000000,0,0.000000, 96.400000,96.400000,96.400000,96.400000
14,j13,Periodic,15, 6010,601.000000,0,0.000000, 80.900000,92.500000,85.223028,85.700000
15,j14,Periodic,7, 610,61.000000,0,0.000000, 624.800000,884.100000,825.931803,847.200000
16,j15,Periodic,10, 2410,241.000000,0,0.000000, 84.000000,175.600000,162.751660,168.800000
17,j16,Periodic,11, 2410,241.000000,0,0.000000, 174.000000,229.000000,214.562656,210.600000
18,j17,Periodic,9, 1210,121.000000,0,0.000000, 332.300000,423.900000,408.613306,417.100000
19,j18,Periodic,8, 610,61.000000,0,0.000000, 828.700000,920.900000,905.411148,914.100000
20,j19,Periodic,6, 310,31.000000,0,0.000000, 1620.400000,1879.700000,1822.788387,1842.800000
21,j20,Aperiodic,1, 600,60.000000,0,0.000000, 605.600000,843.600000,814.955333,838.600000
22,j21,Aperiodic,3, 600,60.000000,0,0.000000, 608.100000,873.000000,820.477667,841.700000
23,j22,Aperiodic,4, 80,8.000000,0,0.000000, 609.200000,995.600000,705.067500,620.400000
24,j23,Aperiodic,2, 10,1.000000,0,0.000000, 59676.100000,59707.200000,59700.980000,59707.200000
25,j24,Aperiodic,5, 120,12.000000,0,0.000000, 4614.200000,4874.100000,4821.116667,4840.300000
